R_fighter,B_fighter,Winner,Excitement
Diego Ferreira,Michael Johnson,Diego Ferreira,21.996
Chase Hooper,Nick Fiore,Chase Hooper,22.082
Ilir Latifi,Rodrigo Nascimento,Rodrigo Nascimento,26.5
Natalia Silva,Victoria Leonardo,Natalia Silva,19.896
Takashi Sato,Themba Gorimbo,Themba Gorimbo,12.467
Matt Brown,Court McGee,Matt Brown,16.378
Carlos Ulberg,Ihor Potieria,Carlos Ulberg,32.357
Jairzinho Rozenstruik,Jailton Almeida,Jailton Almeida,7.645
Cody Stamann,Douglas Silva de Andrade,Douglas Silva de Andrade,18.48
Tim Means,Alex Morono,Alex Morono,19.606
Daniel Rodriguez,Ian Garry,Ian Garry,28.036
Anthony Smith,Johnny Walker,Johnny Walker,19.61
Bryan Battle,Gabe Green,Bryan Battle,20.302
Karl Williams,Chase Sherman,Karl Williams,23.379
Jessica-Rose Clark,Tainara Lisboa,Tainara Lisboa,13.639
Ji Yeon Kim,Mandy Bohm,Mandy Bohm,9.892
Jessica Andrade,Yan Xiaonan,Yan Xiaonan,23.6
Movsar Evloev,Diego Lopes,Movsar Evloev,23.973
Drew Dober,Matt Frevola,Matt Frevola,19.717
Aljamain Sterling,Henry Cejudo,Aljamain Sterling,27.436
Kron Gracie,Charles Jourdain,Charles Jourdain,21.231
Belal Muhammad,Gilbert Burns,Belal Muhammad,25.734
Kennedy Nzechukwu,Devin Clark,Kennedy Nzechukwu,18.524
Khaos Williams,Rolando Bedoya,Khaos Williams,27.218
Braxton Smith,Parker Porter,Parker Porter,25.318
Joseph Holmes,Claudio Ribeiro,Claudio Ribeiro,16.959
Marina Rodriguez,Virna Jandiroba,Virna Jandiroba,18.405
Phil Hawes,Ikram Aliskerov,Ikram Aliskerov,31.304
Cody Durden,Charles Johnson,Cody Durden,14.769
Rodolfo Vieira,Cody Brundage,Rodolfo Vieira,16.66
Caio Borralho,Michal Oleksiejczuk,Caio Borralho,25.178
Marcos Rogerio de Lima,Waldo Cortes-Acosta,Marcos Rogerio de Lima,28.387
Song Yadong,Ricky Simon,Song Yadong,23.62
Julian Erosa,Fernando Padilla,Fernando Padilla,25.377
Martin Buday,Jake Collier,Martin Buday,23.317
Journey Newson,Marcus McGhee,Marcus McGhee,21.305
Josh Quinlan,Trey Waters,Trey Waters,32.497
Stephanie Egger,Irina Alekseeva,Irina Alekseeva,20.304
Hailey Cowan,Jamey-Lyn Horth,Jamey-Lyn Horth,26.009
Brad Tavares,Bruno Silva,Bruno Silva,18.463
Karol Rosa,Norma Dumont,Norma Dumont,16.552
Jeremiah Wells,Matthew Semelsberger,Jeremiah Wells,13.391
Bobby Green,Jared Gordon,,21.645
Iasmin Lucindo,Brogan Walker,Iasmin Lucindo,17.928
Ricky Glenn,Christos Giagos,Christos Giagos,18.417
Sergei Pavlovich,Curtis Blaydes,Sergei Pavlovich,26.322
Rani Yahya,Montel Jackson,Montel Jackson,17.931
Francis Marshall,William Gomis,William Gomis,22.989
Mohammed Usman,Junior Tafa,Mohammed Usman,16.851
