R_fighter,B_fighter,Winner,Excitement
Urijah Faber,Jimmie Rivera,Jimmie Rivera,23.899
Drew Dober,Jason Gonzalez,Drew Dober,22.869
Brad Tavares,Caio Magalhaes,Brad Tavares,19.325
Yancy Medeiros,Sean Spencer,Yancy Medeiros,17.016
Jessin Ayari,Jim Wallhead,Jessin Ayari,21.349
Ryan Bader,Ilir Latifi,Ryan Bader,18.592
Andrei Arlovski,Josh Barnett,Josh Barnett,15.494
Taylor Lapilus,Leandro Issa,Taylor Lapilus,15.571
Alexander Gustafsson,Jan Blachowicz,Alexander Gustafsson,11.06
Peter Sobotta,Nicolas Dalby,Peter Sobotta,14.61
Ashlee Evans-Smith,Veronica Hardy,Ashlee Evans-Smith,25.49
Jarjis Danho,Christian Colombo,,28.599
Scott Askham,Jack Hermansson,Jack Hermansson,23.866
Nick Hein,Tae Hyun Bang,Nick Hein,19.711
Rustam Khabilov,Leandro Silva,Rustam Khabilov,17.352
Garreth McLellan,Alessio Di Chirico,Alessio Di Chirico,20.369
Paige VanZant,Bec Rawlings,Paige VanZant,21.407
Anthony Pettis,Charles Oliveira,Anthony Pettis,14.42
Sam Alvey,Kevin Casey,Sam Alvey,18.635
Enrique Barzola,Kyle Bochniak,Kyle Bochniak,26.123
Shane Campbell,Felipe Silva,Felipe Silva,31.187
Joe Lauzon,Jim Miller,Jim Miller,43.725
Demian Maia,Carlos Condit,Demian Maia,13.689
Chad Laprise,Thibault Gouti,Chad Laprise,22.469
Jeremy Kennedy,Alex Ricci,Jeremy Kennedy,16.302
Nate Diaz,Conor McGregor,Conor McGregor,50.065
Tim Means,Sabah Homasi,Tim Means,21.491
Artem Lobov,Chris Avila,Artem Lobov,20.688
Hyun Gyu Lim,Mike Perry,Mike Perry,21.328
Raquel Pennington,Elizabeth Phillips,Raquel Pennington,13.333
Rick Story,Donald Cerrone,Donald Cerrone,15.942
Anthony Johnson,Glover Teixeira,Anthony Johnson,21.942
Neil Magny,Lorenz Larkin,Lorenz Larkin,17.722
Cody Garbrandt,Takeya Mizugaki,Cody Garbrandt,26.707
Randa Markos,Cortney Casey,Cortney Casey,9.01
Colby Covington,Max Griffin,Colby Covington,20.046
Alberto Uda,Marvin Vettori,Marvin Vettori,19.485
Viktor Pesta,Marcin Tybura,Marcin Tybura,20.992
Court McGee,Dominique Steele,Court McGee,11.778
Dennis Bermudez,Rony Jason,Dennis Bermudez,12.956
Thales Leites,Chris Camozzi,Thales Leites,12.615
Yair Rodriguez,Alex Caceres,Yair Rodriguez,23.887
Santiago Ponzinibbio,Zak Cummings,Santiago Ponzinibbio,23.639
Maryna Moroz,Danielle Taylor,Maryna Moroz,26.394
Trevor Smith,Joseph Gigliotti,Trevor Smith,18.372
David Teymur,Jason Novelli,David Teymur,28.33
Teruto Ishihara,Horacio Gutierrez,Teruto Ishihara,21.682
Cub Swanson,Tatsuya Kawajiri,Cub Swanson,14.743
Chase Sherman,Justin Ledet,Justin Ledet,33.779
Matt Brown,Jake Ellenberger,Jake Ellenberger,16.631
Rose Namajunas,Karolina Kowalkiewicz,Karolina Kowalkiewicz,23.996
Ross Pearson,Jorge Masvidal,Jorge Masvidal,19.531
Ryan Benoit,Fredy Serrano,Ryan Benoit,23.305
Anthony Hamilton,Damian Grabowski,Anthony Hamilton,22.96
Francisco Rivera,Erik Perez,Erik Perez,14.64
Wilson Reis,Hector Sandoval,Wilson Reis,16.087
Nikita Krylov,Ed Herman,Nikita Krylov,20.913
Cesar Arzamendia,Damien Brown,Damien Brown,22.019
Robbie Lawler,Tyron Woodley,Tyron Woodley,23.646
Michael Graves,Bojan Velickovic,,21.112
Michel Prazeres,JC Cottrell,Michel Prazeres,21.392
Frankie Saenz,Eddie Wineland,Eddie Wineland,18.79
Felice Herrig,Kailin Curran,Felice Herrig,17.279
Francis Ngannou,Bojan Mihajlovic,Francis Ngannou,26.176
Darren Elkins,Godofredo Pepey,Darren Elkins,13.117
Kamaru Usman,Alexander Yakovlev,Kamaru Usman,14.272
Holly Holm,Valentina Shevchenko,Valentina Shevchenko,26.527
Edson Barboza,Gilbert Melendez,Edson Barboza,19.715
Luis Henrique,Dmitrii Smoliakov,Luis Henrique,21.625
Alex Oliveira,James Moontasri,Alex Oliveira,13.472
Jim Alers,Jason Knight,Jason Knight,26.382
Kyle Noke,Keita Nakamura,Keita Nakamura,21.146
Aleksei Oleinik,Daniel Omielanczuk,Daniel Omielanczuk,7.598
Lauren Murphy,Katlyn Chookagian,Katlyn Chookagian,22.522
Michael McDonald,John Lineker,John Lineker,23.709
Tony Ferguson,Lando Vannata,Tony Ferguson,30.229
Louis Smolka,Ben Nguyen,Louis Smolka,18.76
Eric Spicely,Sam Alvey,Sam Alvey,24.075
Cortney Casey,Cristina Stanciu,Cortney Casey,23.901
Tim Boetsch,Josh Samman,Tim Boetsch,15.224
Devin Clark,Alex Nicholson,Alex Nicholson,26.653
Scott Holtzman,Cody Pfister,Scott Holtzman,17.78
Rani Yahya,Matthew Lopez,Rani Yahya,20.101
Cain Velasquez,Travis Browne,Cain Velasquez,20.321
Johny Hendricks,Kelvin Gastelum,Kelvin Gastelum,23.479
TJ Dillashaw,Raphael Assuncao,TJ Dillashaw,49.513
Jose Aldo,Frankie Edgar,Jose Aldo,53.469
Diego Sanchez,Joe Lauzon,Joe Lauzon,22.438
Miesha Tate,Amanda Nunes,Amanda Nunes,16.907
Daniel Cormier,Anderson Silva,Daniel Cormier,18.573
Sage Northcutt,Enrique Marin,Sage Northcutt,18.551
Brock Lesnar,Mark Hunt,,22.359
Gegard Mousasi,Thiago Santos,Gegard Mousasi,17.991
Cat Zingano,Julianna Pena,Julianna Pena,17.85
Jim Miller,Takanori Gomi,Jim Miller,8.245
Ross Pearson,Will Brooks,Will Brooks,22.682
Tatiana Suarez,Amanda Cooper,Tatiana Suarez,17.907
Andrew Sanchez,Khalil Rountree Jr.,Andrew Sanchez,23.895
Dooho Choi,Thiago Tavares,Dooho Choi,17.282
John Moraga,Matheus Nicolau,Matheus Nicolau,21.814
Joanna Jedrzejczyk,Claudia Gadelha,Joanna Jedrzejczyk,58.278
Joaquim Silva,Andrew Holbrook,Joaquim Silva,38.42
Cezar Ferreira,Anthony Smith,Cezar Ferreira,16.06
Jake Matthews,Kevin Lee,Kevin Lee,22.273
Gray Maynard,Fernando Bruno,Gray Maynard,13.307
Cory Hendricks,Josh Stansbury,Josh Stansbury,21.156
Li Jingliang,Anton Zafir,Li Jingliang,14.938
Russell Doane,Pedro Munhoz,Pedro Munhoz,22.554
Alan Jouban,Belal Muhammad,Alan Jouban,24.86
Mike Pyle,Alberto Mina,Alberto Mina,17.824
John Makdessi,Mehdi Baghdad,John Makdessi,20.171
Roy Nelson,Derrick Lewis,Derrick Lewis,9.32
Rafael Dos Anjos,Eddie Alvarez,Eddie Alvarez,19.267
Joe Duffy,Mitch Clarke,Joe Duffy,15.882
Anthony Birchak,Dileno Lopes,Anthony Birchak,16.723
Gilbert Burns,Lukasz Sajewski,Gilbert Burns,27.457
Marco Beltran,Reginaldo Vieira,Marco Beltran,15.006
Felipe Arantes,Jerrod Sanders,Felipe Arantes,13.083
Vicente Luque,Alvaro Herrera Mendoza,Vicente Luque,13.153
Rory MacDonald,Stephen Thompson,Stephen Thompson,28.316
Olivier Aubin-Mercier,Thibault Gouti,Olivier Aubin-Mercier,23.608
Steve Bosse,Sean O'Connell,Steve Bosse,21.266
Valerie Letourneau,Joanne Wood,Joanne Wood,24.567
Donald Cerrone,Patrick Cote,Donald Cerrone,19.102
Tamdan McCrory,Krzysztof Jotko,Krzysztof Jotko,27.281
Misha Cirkunov,Ion Cutelaba,Misha Cirkunov,27.552
Elias Theodorou,Sam Alvey,Elias Theodorou,22.431
Jason Saggo,Leandro Silva,Jason Saggo,20.175
Randa Markos,Jocelyn Jones-Lybarger,Randa Markos,17.214
Ali Bagautinov,Geane Herrera,Ali Bagautinov,22.668
Chris Beal,Joe Soto,Joe Soto,17.208
Colby Covington,Jonathan Meunier,Colby Covington,25.468
Max Holloway,Ricardo Lamas,Max Holloway,22.497
Jessica Penne,Jessica Andrade,Jessica Andrade,19.136
Dustin Poirier,Bobby Green,Dustin Poirier,22.537
Dan Henderson,Hector Lombard,Dan Henderson,17.887
Luke Rockhold,Michael Bisping,Michael Bisping,54.182
Dominick Cruz,Urijah Faber,Dominick Cruz,51.263
Cole Miller,Alex Caceres,Alex Caceres,14.428
Jonathan Wilson,Henrique da Silva,Henrique da Silva,34.644
Brian Ortega,Clay Guida,Brian Ortega,25.522
Beneil Dariush,James Vick,Beneil Dariush,27.681
Kevin Casey,Elvis Mutapcic,,19.451
Marco Polo Reyes,Dong Hyun Ma,Marco Polo Reyes,18.113
Sean Strickland,Tom Breese,Sean Strickland,33.015
Thomas Almeida,Cody Garbrandt,Cody Garbrandt,35.026
Chris Camozzi,Vitor Miranda,Chris Camozzi,18.594
Renan Barao,Jeremy Stephens,Jeremy Stephens,18.738
Tarec Saffiedine,Rick Story,Rick Story,15.139
Jorge Masvidal,Lorenz Larkin,Lorenz Larkin,15.598
Sara McMann,Jessica Eye,Sara McMann,13.633
Abel Trujillo,Jordan Rinaldi,Abel Trujillo,12.837
Jake Collier,Alberto Uda,Jake Collier,21.109
Erik Koch,Shane Campbell,Erik Koch,11.606
Joshua Burkman,Paul Felder,Paul Felder,19.971
Chris de la Rocha,Adam Milstead,Adam Milstead,22.327
Aljamain Sterling,Bryan Caraway,Bryan Caraway,18.284
Thiago Santos,Nate Marquardt,Thiago Santos,22.953
Fabricio Werdum,Stipe Miocic,Stipe Miocic,26.765
Cristiane Justino,Leslie Smith,Cristiane Justino,26.298
Demian Maia,Matt Brown,Demian Maia,13.241
Jacare Souza,Vitor Belfort,Jacare Souza,18.052
Francisco Trinaldo,Yancy Medeiros,Francisco Trinaldo,20.014
John Lineker,Rob Font,John Lineker,24.293
Sergio Moraes,Luan Chagas,,25.702
Mauricio Rua,Corey Anderson,Mauricio Rua,21.832
Warlley Alves,Bryan Barberena,Bryan Barberena,25.803
Rogerio Nogueira,Patrick Cummins,Rogerio Nogueira,20.581
Renato Moicano,Zubaira Tukhugov,Renato Moicano,24.872
Antonio Silva,Stefan Struve,Stefan Struve,7.059
Germaine de Randamie,Anna Elmose,Germaine de Randamie,23.045
Nikita Krylov,Francimar Barroso,Nikita Krylov,17.475
Alistair Overeem,Andrei Arlovski,Alistair Overeem,21.109
Rustam Khabilov,Chris Wade,Rustam Khabilov,24.123
Albert Tumenov,Gunnar Nelson,Gunnar Nelson,25.2
Magnus Cedenblad,Garreth McLellan,Magnus Cedenblad,22.692
Karolina Kowalkiewicz,Heather Clark,Karolina Kowalkiewicz,23.635
Kyoji Horiguchi,Neil Seery,Kyoji Horiguchi,20.509
Jon Tuck,Josh Emmett,Josh Emmett,28.518
Yan Cabral,Reza Madadi,Reza Madadi,16.231
Leon Edwards,Dominic Waters,Leon Edwards,12.611
Yuta Sasaki,Willie Gates,Yuta Sasaki,9.578
Demetrious Johnson,Henry Cejudo,Demetrious Johnson,30.935
Yair Rodriguez,Andre Fili,Yair Rodriguez,20.86
Danny Roberts,Dominique Steele,Danny Roberts,20.804
Sergio Pettis,Chris Kelades,Sergio Pettis,21.885
Robert Whittaker,Rafael Natal,Robert Whittaker,22.607
Jon Jones,Ovince Saint Preux,Jon Jones,27.964
Carla Esparza,Juliana Lima,Carla Esparza,17.678
Efrain Escudero,Kevin Lee,Kevin Lee,20.742
Anthony Pettis,Edson Barboza,Edson Barboza,21.083
Glaico Franca Moreira,James Vick,James Vick,23.816
Walt Harris,Cody East,Walt Harris,26.641
Marcos Rogerio de Lima,Clint Hester,Marcos Rogerio de Lima,8.897
Randy Brown,Michael Graves,Michael Graves,25.221
Bethe Correia,Raquel Pennington,Raquel Pennington,24.287
Court McGee,Santiago Ponzinibbio,Santiago Ponzinibbio,23.215
Cub Swanson,Hacran Dias,Cub Swanson,23.137
John Dodson,Manvel Gamburyan,John Dodson,26.617
Rose Namajunas,Tecia Torres,Rose Namajunas,24.902
Beneil Dariush,Michael Chiesa,Michael Chiesa,25.246
Khabib Nurmagomedov,Darrell Horcher,Khabib Nurmagomedov,26.736
Oluwale Bamgbose,Cezar Ferreira,Cezar Ferreira,18.588
Elizeu Zaleski dos Santos,Omari Akhmedov,Elizeu Zaleski dos Santos,18.692
Glover Teixeira,Rashad Evans,Glover Teixeira,21.243
Francis Ngannou,Curtis Blaydes,Francis Ngannou,30.017
Maryna Moroz,Cristina Stanciu,Maryna Moroz,26.635
Ian Entwistle,Alejandro Perez,Alejandro Perez,10.874
Timothy Johnson,Marcin Tybura,Timothy Johnson,24.563
Igor Pokrajac,Jan Blachowicz,Jan Blachowicz,12.235
Nicolas Dalby,Zak Cummings,Zak Cummings,22.597
Ben Rothwell,Junior Dos Santos,Junior Dos Santos,21.593
Alessio Di Chirico,Bojan Velickovic,Bojan Velickovic,27.899
Jared Cannonier,Cyril Asker,Jared Cannonier,31.191
Filip Pejic,Damian Stasiak,Damian Stasiak,6.355
Mairbek Taisumov,Damir Hadzovic,Mairbek Taisumov,22.748
Derrick Lewis,Gabriel Gonzaga,Derrick Lewis,15.326
Robert Whiteford,Lucas Martins,Lucas Martins,23.348
Brendan O'Reilly,Alan Jouban,Alan Jouban,20.156
Hector Lombard,Neil Magny,Neil Magny,20.493
James Te Huna,Steve Bosse,Steve Bosse,20.107
Bec Rawlings,Seo Hee Ham,Bec Rawlings,14.925
Jake Matthews,Johnny Case,Jake Matthews,21.615
Daniel Kelly,Antonio Carlos Junior,Daniel Kelly,25.217
Mark Hunt,Frank Mir,Mark Hunt,18.578
Alan Patrick,Damien Brown,Alan Patrick,19.221
Ross Pearson,Chad Laprise,Ross Pearson,25.211
Richard Walsh,Viscardi Andrade,Viscardi Andrade,11.762
Leslie Smith,Rin Nakai,Leslie Smith,19.749
Dan Hooker,Mark Eddiva,Dan Hooker,20.065
Gian Villante,Ilir Latifi,Ilir Latifi,16.189
Amanda Nunes,Valentina Shevchenko,Amanda Nunes,21.403
Corey Anderson,Tom Lawlor,Corey Anderson,22.016
Erick Silva,Nordine Taleb,Nordine Taleb,21.114
Brandon Thatch,Siyar Bahadurzada,Siyar Bahadurzada,16.413
Vitor Miranda,Marcelo Guimaraes,Vitor Miranda,23.719
Conor McGregor,Nate Diaz,Nate Diaz,23.807
Holly Holm,Miesha Tate,Miesha Tate,22.949
Darren Elkins,Chas Skelly,Darren Elkins,20.982
Julian Erosa,Teruto Ishihara,Teruto Ishihara,18.42
Diego Sanchez,Jim Miller,Diego Sanchez,17.347
Jason Saggo,Justin Salas,Jason Saggo,15.868
Anderson Silva,Michael Bisping,Michael Bisping,21.821
Scott Askham,Chris Dempsey,Scott Askham,18.581
Francisco Rivera,Brad Pickett,Brad Pickett,16.414
Tom Breese,Keita Nakamura,Tom Breese,19.665
Gegard Mousasi,Thales Leites,Gegard Mousasi,15.353
Arnold Allen,Yaotzin Meza,Arnold Allen,19.224
Davey Grant,Marlon Vera,Davey Grant,17.957
Daniel Omielanczuk,Jarjis Danho,Daniel Omielanczuk,26.155
Brad Scott,Krzysztof Jotko,Krzysztof Jotko,24.794
David Teymur,Martin Svensson,David Teymur,25.185
Mike Wilkinson,Makwan Amirkhani,Makwan Amirkhani,16.159
Norman Parke,Rustam Khabilov,Rustam Khabilov,14.355
Teemu Packalen,Thibault Gouti,Teemu Packalen,26.384
Chris Camozzi,Joe Riggs,Chris Camozzi,21.49
Donald Cerrone,Alex Oliveira,Donald Cerrone,19.066
Dennis Bermudez,Tatsuya Kawajiri,Dennis Bermudez,14.477
Alex Garcia,Sean Strickland,Sean Strickland,24.288
Cody Garbrandt,Augusto Mendes,Cody Garbrandt,31.981
Derek Brunson,Roan Carneiro,Derek Brunson,16.504
Daniel Sarafian,Oluwale Bamgbose,Oluwale Bamgbose,18.666
James Krause,Shane Campbell,James Krause,15.302
Lauren Murphy,Kelly Faszholz,Lauren Murphy,26.466
Anthony Hamilton,Shamil Abdurakhimov,Shamil Abdurakhimov,25.296
Anthony Smith,Leonardo Guimaraes,Anthony Smith,17.999
Jonavin Webb,Nathan Coy,Nathan Coy,16.493
Marion Reneau,Ashlee Evans-Smith,Ashlee Evans-Smith,23.204
Joseph Benavidez,Zach Makovsky,Joseph Benavidez,19.241
Roy Nelson,Jared Rosholt,Roy Nelson,20.6
Johny Hendricks,Stephen Thompson,Stephen Thompson,28.283
Derrick Lewis,Damian Grabowski,Derrick Lewis,13.361
Ovince Saint Preux,Rafael Cavalcante,Ovince Saint Preux,16.302
Joshua Burkman,KJ Noons,Joshua Burkman,20.609
Mike Pyle,Sean Spencer,Mike Pyle,17.22
Misha Cirkunov,Alex Nicholson,Misha Cirkunov,24.848
Mickey Gall,Mike Jackson,Mickey Gall,25.627
Ray Borg,Justin Scoggins,Justin Scoggins,22.928
Artem Lobov,Alex White,Alex White,17.127
Noad Lahat,Diego Rivas,Diego Rivas,25.606
Tarec Saffiedine,Jake Ellenberger,Tarec Saffiedine,18.148
Josh Barnett,Ben Rothwell,Ben Rothwell,21.211
Rafael Natal,Kevin Casey,Rafael Natal,14.82
Olivier Aubin-Mercier,Diego Ferreira,Diego Ferreira,26.654
Iuri Alcantara,Jimmie Rivera,Jimmie Rivera,25.01
Anthony Johnson,Ryan Bader,Anthony Johnson,10.879
Sage Northcutt,Bryan Barberena,Bryan Barberena,20.925
Dustin Ortiz,Wilson Reis,Wilson Reis,12.922
George Sullivan,Alexander Yakovlev,Alexander Yakovlev,20.136
Matt Dwyer,Randy Brown,Randy Brown,23.197
Alex Caceres,Masio Fullen,Alex Caceres,19.884
Damon Jackson,Levan Makashvili,,18.789
Anthony Rocco Martin,Felipe Olivieri,Anthony Rocco Martin,17.475
Tim Boetsch,Ed Herman,Ed Herman,21.308
Chris Wade,Mehdi Baghdad,Chris Wade,11.842
Patrick Cote,Ben Saunders,Patrick Cote,17.205
Ross Pearson,Francisco Trinaldo,Francisco Trinaldo,18.362
Anthony Pettis,Eddie Alvarez,Eddie Alvarez,19.686
Maximo Blanco,Luke Sanders,Luke Sanders,26.231
Travis Browne,Matt Mitrione,Travis Browne,20.736
Ilir Latifi,Sean O'Connell,Ilir Latifi,22.964
TJ Dillashaw,Dominick Cruz,Dominick Cruz,27.754
Rob Font,Joey Gomez,Rob Font,29.047
Francimar Barroso,Elvis Mutapcic,Francimar Barroso,19.705
Charles Rosa,Kyle Bochniak,Charles Rosa,29.086
Paul Felder,Daron Cruickshank,Paul Felder,17.389
Lorenz Larkin,Albert Tumenov,Albert Tumenov,25.146
Robbie Lawler,Carlos Condit,Robbie Lawler,21.457
Abel Trujillo,Tony Sims,Abel Trujillo,19.12
Stipe Miocic,Andrei Arlovski,Stipe Miocic,29.671
Diego Brandao,Brian Ortega,Brian Ortega,25.702
Michael McDonald,Masanori Kanehara,Michael McDonald,12.034
Kyle Noke,Alex Morono,Alex Morono,16.662
Dustin Poirier,Joe Duffy,Dustin Poirier,19.716
Scott Holtzman,Drew Dober,Drew Dober,21.23
Joe Soto,Michinori Tanaka,Michinori Tanaka,23.586
Sheldon Westcott,Edgar Garcia,Sheldon Westcott,9.37
Justine Kish,Nina Nunes,Justine Kish,25.518
Randa Markos,Karolina Kowalkiewicz,Karolina Kowalkiewicz,20.312
Michael Johnson,Nate Diaz,Nate Diaz,20.198
Sarah Kaufman,Valentina Shevchenko,Valentina Shevchenko,22.384
Charles Oliveira,Myles Jury,Charles Oliveira,19.19
Rafael Dos Anjos,Donald Cerrone,Rafael Dos Anjos,51.334
CB Dollaway,Nate Marquardt,Nate Marquardt,22.028
Junior Dos Santos,Alistair Overeem,Alistair Overeem,25.712
Josh Samman,Tamdan McCrory,Tamdan McCrory,15.681
Kamaru Usman,Leon Edwards,Kamaru Usman,17.493
Cole Miller,Jim Alers,,23.891
Nik Lentz,Danny Castillo,Nik Lentz,16.918
Francis Ngannou,Luis Henrique,Francis Ngannou,25.297
Hayder Hassan,Vicente Luque,Vicente Luque,22.321
Jose Aldo,Conor McGregor,Conor McGregor,30.14
Jacare Souza,Yoel Romero,Yoel Romero,28.569
Demian Maia,Gunnar Nelson,Demian Maia,19.234
Warlley Alves,Colby Covington,Warlley Alves,26.582
Tecia Torres,Jocelyn Jones-Lybarger,Tecia Torres,26.595
Leonardo Santos,Kevin Lee,Leonardo Santos,26.142
Max Holloway,Jeremy Stephens,Max Holloway,20.426
Chris Weidman,Luke Rockhold,Luke Rockhold,29.031
John Makdessi,Yancy Medeiros,Yancy Medeiros,22.669
Urijah Faber,Frankie Saenz,Urijah Faber,24.692
Joe Proctor,Magomed Mustafaev,Magomed Mustafaev,29.924
Court McGee,Marcio Alexandre Junior,Court McGee,19.567
Tatsuya Kawajiri,Jason Knight,Tatsuya Kawajiri,21.06
Artem Lobov,Ryan Hall,Ryan Hall,10.792
Gabriel Gonzaga,Konstantin Erokhin,Gabriel Gonzaga,20.082
Joe Lauzon,Evan Dunham,Evan Dunham,18.479
Edson Barboza,Tony Ferguson,Tony Ferguson,23.584
Frankie Edgar,Chad Mendes,Frankie Edgar,22.122
Ryan LaFlare,Mike Pierce,Ryan LaFlare,22.827
Julian Erosa,Marcin Wrzosek,Julian Erosa,15.492
Chris Gruetzemacher,Abner Lloveras,Chris Gruetzemacher,26.715
Joby Sanchez,Geane Herrera,Geane Herrera,30.795
Jim Miller,Michael Chiesa,Michael Chiesa,13.487
Sage Northcutt,Cody Pfister,Sage Northcutt,22.045
Aljamain Sterling,Johnny Eduardo,Aljamain Sterling,20.294
Rose Namajunas,Paige VanZant,Rose Namajunas,15.355
Antonio Carlos Junior,Kevin Casey,,21.632
Omari Akhmedov,Sergio Moraes,Sergio Moraes,24.307
Tim Means,John Howard,Tim Means,19.365
Danny Roberts,Nathan Coy,Danny Roberts,21.676
Elias Theodorou,Thiago Santos,Thiago Santos,20.883
Santiago Ponzinibbio,Andreas Stahl,Santiago Ponzinibbio,25.479
Zubaira Tukhugov,Phillipe Nover,Zubaira Tukhugov,18.871
Kailin Curran,Emily Kagan,Kailin Curran,14.475
Yoshihiro Akiyama,Alberto Mina,Alberto Mina,28.484
Dong Hyun Kim,Dominic Waters,Dong Hyun Kim,10.975
Benson Henderson,Jorge Masvidal,Benson Henderson,18.035
Dooho Choi,Sam Sicilia,Dooho Choi,29.6
Seo Hee Ham,Cortney Casey,Seo Hee Ham,17.969
Tae Hyun Bang,Leo Kuntz,Tae Hyun Bang,17.027
Yui Chul Nam,Mike de la Torre,Mike de la Torre,13.348
Dongi Yang,Jake Collier,Dongi Yang,18.882
Guangyou Ning,Marco Beltran,Marco Beltran,16.058
Dominique Steele,Dong Hyun Ma,Dominique Steele,13.591
Yao Zhikui,Fredy Serrano,Fredy Serrano,23.522
Ricardo Lamas,Diego Sanchez,Ricardo Lamas,16.137
Erick Montano,Enrique Marin,Erick Montano,17.174
Efrain Escudero,Leandro Silva,Leandro Silva,12.617
Erik Perez,Taylor Lapilus,Erik Perez,16.299
Jussier Formiga,Henry Cejudo,Henry Cejudo,27.231
Horacio Gutierrez,Enrique Barzola,Enrique Barzola,15.924
Hector Urbina,Bartosz Fabinski,Bartosz Fabinski,12.615
Cesar Arzamendia,Marco Polo Reyes,Marco Polo Reyes,20.024
Neil Magny,Kelvin Gastelum,Neil Magny,18.938
Alejandro Perez,Scott Jorgensen,Alejandro Perez,18.566
Vernon Ramos Ho,Alvaro Herrera Mendoza,Alvaro Herrera Mendoza,25.43
Valmir Lazaro,Michel Prazeres,Michel Prazeres,19.757
Gabriel Benitez,Andre Fili,Andre Fili,21.829
Mark Hunt,Antonio Silva,Mark Hunt,53.798
Ronda Rousey,Holly Holm,Holly Holm,32.04
Kyle Noke,Peter Sobotta,Kyle Noke,20.287
Stefan Struve,Jared Rosholt,Jared Rosholt,17.942
Uriah Hall,Robert Whittaker,Robert Whittaker,17.054
Jake Matthews,Akbarh Arreola,Jake Matthews,19.642
Joanna Jedrzejczyk,Valerie Letourneau,Joanna Jedrzejczyk,26.37
Richie Vaculik,Danny Martinez,Danny Martinez,12.21
Anthony Perosh,Gian Villante,Gian Villante,18.399
James Moontasri,Anton Zafir,James Moontasri,20.593
Richard Walsh,Steve Kennedy,Richard Walsh,14.052
Ben Nguyen,Ryan Benoit,Ben Nguyen,8.62
Daniel Kelly,Steve Montgomery,Daniel Kelly,20.589
Glover Teixeira,Patrick Cummins,Glover Teixeira,22.089
Thomas Almeida,Anthony Birchak,Thomas Almeida,26.547
Gleison Tibau,Abel Trujillo,Abel Trujillo,8.28
Gilbert Burns,Rashid Magomedov,Rashid Magomedov,31.524
Alex Oliveira,Piotr Hallmann,Alex Oliveira,13.538
Fabio Maldonado,Corey Anderson,Corey Anderson,19.469
Yan Cabral,Johnny Case,Johnny Case,22.226
Edimilson Souza,Chas Skelly,Chas Skelly,18.643
Clay Guida,Thiago Tavares,Thiago Tavares,11.04
Vitor Belfort,Dan Henderson,Vitor Belfort,52.563
Viscardi Andrade,Gasan Umalatov,Viscardi Andrade,21.617
Bruno Korea,Matheus Nicolau,Matheus Nicolau,18.78
Pedro Munhoz,Jimmie Rivera,Jimmie Rivera,32.128
Norman Parke,Reza Madadi,Norman Parke,13.981
Neil Seery,Jon Delos Reyes,Neil Seery,12.404
Paddy Holohan,Louis Smolka,Louis Smolka,21.982
Nicolas Dalby,Darren Till,,32.538
Darren Elkins,Robert Whiteford,Darren Elkins,14.051
Aisling Daly,Ericka Almeida,Aisling Daly,11.731
Stevie Ray,Mickael Lebout,Stevie Ray,16.508
Scott Askham,Krzysztof Jotko,Krzysztof Jotko,25.601
Cathal Pendred,Tom Breese,Tom Breese,26.387
Bubba Bush,Garreth McLellan,Garreth McLellan,15.294
Ryan Bader,Rashad Evans,Ryan Bader,20.188
Jessica Eye,Julianna Pena,Julianna Pena,13.988
Daniel Cormier,Alexander Gustafsson,Daniel Cormier,28.388
Shawn Jordan,Ruslan Magomedov,Ruslan Magomedov,21.443
Yair Rodriguez,Dan Hooker,Yair Rodriguez,19.995
Joseph Benavidez,Ali Bagautinov,Joseph Benavidez,19.314
Adriano Martins,Islam Makhachev,Adriano Martins,26.777
Alan Jouban,Albert Tumenov,Albert Tumenov,27.787
Francisco Trevino,Sage Northcutt,Sage Northcutt,29.689
Rose Namajunas,Angela Hill,Rose Namajunas,19.872
Derrick Lewis,Viktor Pesta,Derrick Lewis,20.586
Chris Cariaso,Sergio Pettis,Sergio Pettis,14.779
Gegard Mousasi,Uriah Hall,Uriah Hall,14.787
Josh Barnett,Roy Nelson,Josh Barnett,16.533
Katsunori Kikuno,Diego Brandao,Diego Brandao,24.218
Keita Nakamura,Li Jingliang,Keita Nakamura,16.137
Nick Hein,Yusuke Kasuya,Nick Hein,30.332
Kyoji Horiguchi,Chico Camus,Kyoji Horiguchi,22.879
Takeya Mizugaki,George Roop,Takeya Mizugaki,12.893
Shinsho Anzai,Roger Zapata,Shinsho Anzai,21.929
Mizuto Hirota,Teruto Ishihara,,18.302
Naoyuki Kotani,Kajan Johnson,Kajan Johnson,17.711
Anthony Johnson,Jimi Manuwa,Anthony Johnson,18.591
Demetrious Johnson,John Dodson,Demetrious Johnson,51.544
Francisco Rivera,John Lineker,John Lineker,18.25
Jan Blachowicz,Corey Anderson,Corey Anderson,17.767
Jessica Andrade,Raquel Pennington,Raquel Pennington,44.486
Paige VanZant,Alex Chambers,Paige VanZant,20.194
Joaquim Silva,Nazareno Malegarie,Joaquim Silva,26.939
Joe Riggs,Ron Stallings,Joe Riggs,16.447
Ross Pearson,Paul Felder,Ross Pearson,23.633
Andrei Arlovski,Frank Mir,Andrei Arlovski,15.865
Clay Collard,Tiago dos Santos e Silva,Tiago dos Santos e Silva,15.215
