R_fighter,B_fighter,R_record,B_record,Rematch,R_SIG_STR.,B_SIG_STR.,R_CTRL,B_CTRL,win_by,last_round,last_round_time,date,Fight_type,Winner,Excitement
Michael Johnson,Justin Gaethje,18_11_0,17_0_0,False,91_200,104_174,34,6,KO/TKO,2,288,7-Jul-17,Men's Bout,Justin Gaethje,28.963
Dhiego Lima,Jesse Taylor,14_5_0,30_15_0,False,4_4,21_24,0,330,Submission,2,43,7-Jul-17,Men's Title Bout,Jesse Taylor,15.607
Jordan Johnson,Marcel Fortuna,7_0_0,9_1_0,False,42_139,53_103,110,0,Decision - Unanimous,3,300,7-Jul-17,Men's Bout,Jordan Johnson,31.021
Brad Tavares,Elias Theodorou,14_5_0,13_1_0,False,31_71,34_82,127,253,Decision - Unanimous,3,300,7-Jul-17,Men's Bout,Brad Tavares,21.373
Jared Cannonier,Nick Roehrick,9_2_0,7_0_0,False,84_150,28_160,34,14,KO/TKO,3,128,7-Jul-17,Men's Bout,Jared Cannonier,29.808
James Krause,Tom Gallicchio,23_8_0,19_9_0,False,106_188,53_200,9,60,Decision - Unanimous,3,300,7-Jul-17,Men's Bout,James Krause,20.554
Ed Herman,CB Dollaway,24_12_0,15_8_0,False,24_41,54_72,164,570,Decision - Unanimous,3,300,7-Jul-17,Men's Bout,CB Dollaway,13.599
Gray Maynard,Teruto Ishihara,12_6_1,9_3_2,False,16_24,8_13,779,6,Decision - Unanimous,3,300,7-Jul-17,Men's Bout,Gray Maynard,13.43
Tecia Torres,Juliana Lima,8_1_0,9_3_0,False,15_23,6_31,187,49,Submission,2,53,7-Jul-17,Women's Bout,Tecia Torres,17.94
Felice Herrig,Justine Kish,12_6_0,6_0_0,False,47_93,40_72,564,104,Decision - Unanimous,3,300,25-Jun-17,Women's Bout,Felice Herrig,19.918
Tim Means,Alex Garcia,27_8_1,14_3_0,False,64_174,32_151,1,29,Decision - Unanimous,3,300,25-Jun-17,Men's Bout,Tim Means,19.765
Joachim Christensen,Dominick Reyes,14_5_0,6_0_0,False,1_3,13_16,0,6,KO/TKO,1,29,25-Jun-17,Men's Bout,Dominick Reyes,25.376
Vitor Miranda,Marvin Vettori,12_3_0,11_3_0,False,51_161,69_161,13,225,Decision - Unanimous,3,300,25-Jun-17,Men's Bout,Marvin Vettori,17.545
BJ Penn,Dennis Siver,16_11_2,22_11_0,False,57_107,103_280,121,11,Decision - Majority,3,300,25-Jun-17,Men's Bout,Dennis Siver,20.15
Clay Guida,Erik Koch,32_14_0,15_4_0,False,38_87,13_39,593,35,Decision - Unanimous,3,300,25-Jun-17,Men's Bout,Clay Guida,10.614
Jared Gordon,Michel Quinones,13_1_0,8_1_0,False,67_121,16_78,279,0,KO/TKO,2,264,25-Jun-17,Men's Bout,Jared Gordon,25.628
Michael Chiesa,Kevin Lee,14_2_0,15_2_0,False,4_9,22_30,8,213,Submission,1,277,25-Jun-17,Men's Bout,Kevin Lee,19.711
Devin Powell,Darrell Horcher,8_2_0,12_2_0,False,43_79,37_76,114,432,Decision - Split,3,300,25-Jun-17,Men's Bout,Darrell Horcher,20.763
Tim Boetsch,Johny Hendricks,20_11_0,18_6_0,False,41_68,10_45,1,0,KO/TKO,2,46,25-Jun-17,Men's Bout,Tim Boetsch,21.66
Anthony Rocco Martin,Johnny Case,11_3_0,22_5_0,False,82_226,92_254,0,52,Decision - Unanimous,3,300,25-Jun-17,Men's Bout,Anthony Rocco Martin,19.643
Carla Esparza,Maryna Moroz,12_4_0,8_1_0,False,40_95,38_119,383,0,Decision - Unanimous,3,300,25-Jun-17,Women's Bout,Carla Esparza,19.712
Josh Stansbury,Jeremy Kimball,4_7_0,14_6_0,False,4_12,17_25,23,8,KO/TKO,1,81,25-Jun-17,Men's Bout,Jeremy Kimball,15.558
Andrei Arlovski,Marcin Tybura,25_14_0,15_2_0,False,28_56,51_92,240,517,Decision - Unanimous,3,300,17-Jun-17,Men's Bout,Marcin Tybura,15.407
Justin Scoggins,Yuta Sasaki,11_3_0,19_4_2,False,37_62,21_41,330,68,Submission,2,199,17-Jun-17,Men's Bout,Yuta Sasaki,13.9
Takanori Gomi,Jon Tuck,35_12_0,9_4_0,False,0_5,7_13,0,38,Submission,1,72,17-Jun-17,Men's Bout,Jon Tuck,7.555
Holly Holm,Bethe Correia,10_2_0,10_2_1,False,25_53,15_65,2,13,KO/TKO,3,69,17-Jun-17,Women's Bout,Holly Holm,25.32
Li Jingliang,Frank Camacho,12_4_0,20_4_0,False,94_176,35_120,73,39,Decision - Unanimous,3,300,17-Jun-17,Men's Bout,Li Jingliang,20.549
Tarec Saffiedine,Rafael Dos Anjos,16_6_0,25_9_0,False,60_139,81_158,221,209,Decision - Unanimous,3,300,17-Jun-17,Men's Bout,Rafael Dos Anjos,15.119
Alex Caceres,Rolando Dy,12_11_0,8_4_1,False,51_93,20_65,108,85,TKO - Doctor's Stoppage,2,300,17-Jun-17,Men's Bout,Alex Caceres,17.27
Dong Hyun Kim,Colby Covington,22_3_1,11_1_0,False,19_54,47_105,68,610,Decision - Unanimous,3,300,17-Jun-17,Men's Bout,Colby Covington,18.112
Cyril Asker,Walt Harris,8_2_0,9_5_0,False,2_14,21_41,0,24,KO/TKO,1,104,17-Jun-17,Men's Bout,Walt Harris,16.817
Kwan Ho Kwak,Russell Doane,9_1_0,14_7_0,False,10_24,17_46,12,2,KO/TKO,1,249,17-Jun-17,Men's Bout,Russell Doane,25.513
Naoki Inoue,Carls John De Tomas,10_0_0,6_0_0,False,62_116,30_74,516,77,Decision - Unanimous,3,300,17-Jun-17,Men's Bout,Naoki Inoue,27.5
Ji Yeon Kim,Lucie Pudilova,6_0_2,11_3_0,False,60_162,53_169,75,307,Decision - Unanimous,3,300,17-Jun-17,Women's Bout,Lucie Pudilova,17.694
Derek Brunson,Daniel Kelly,16_5_0,13_1_0,False,8_17,1_4,2,0,KO/TKO,1,76,10-Jun-17,Men's Bout,Derek Brunson,26.084
Luke Jumeau,Dominique Steele,11_3_0,14_8_0,False,40_83,44_83,98,340,Decision - Unanimous,3,300,10-Jun-17,Men's Bout,Luke Jumeau,16.619
Damien Brown,Vinc Pichel,17_9_0,9_1_0,False,21_56,19_38,0,2,KO/TKO,1,217,10-Jun-17,Men's Bout,Vinc Pichel,26.538
Dan Hooker,Ross Pearson,13_7_0,19_13_0,False,69_141,38_88,1,2,KO/TKO,2,182,10-Jun-17,Men's Bout,Dan Hooker,22.132
Ion Cutelaba,Henrique da Silva,12_3_0,14_3_0,False,15_18,1_2,9,0,KO/TKO,1,22,10-Jun-17,Men's Bout,Ion Cutelaba,23.355
Derrick Lewis,Mark Hunt,18_5_0,12_11_1,False,51_139,59_125,0,0,KO/TKO,4,231,10-Jun-17,Men's Bout,Mark Hunt,20.644
Alexander Volkanovski,Mizuto Hirota,14_2_0,18_7_2,False,87_139,46_149,318,23,Decision - Unanimous,3,300,10-Jun-17,Men's Bout,Alexander Volkanovski,21.325
Tim Elliott,Ben Nguyen,15_8_1,15_6_0,False,1_4,3_7,0,31,Submission,1,49,10-Jun-17,Men's Bout,Ben Nguyen,9.628
JJ Aldrich,Chan-Mi Jeon,6_2_0,5_0_0,False,98_245,92_250,0,2,Decision - Unanimous,3,300,10-Jun-17,Women's Bout,JJ Aldrich,28.882
John Moraga,Ashkan Mokhtarian,16_6_0,13_1_0,False,56_87,12_23,467,129,Decision - Unanimous,3,300,10-Jun-17,Men's Bout,John Moraga,21.699
Kiichi Kunimoto,Zak Ottow,18_6_2,14_4_0,False,25_47,37_76,420,142,Decision - Split,3,300,10-Jun-17,Men's Bout,Zak Ottow,14.38
Vitor Belfort,Nate Marquardt,25_13_0,35_17_2,False,37_78,57_113,0,63,Decision - Unanimous,3,300,3-Jun-17,Men's Bout,Vitor Belfort,21.565
Paulo Costa,Oluwale Bamgbose,9_0_0,6_2_0,False,43_80,33_62,15,82,KO/TKO,2,66,3-Jun-17,Men's Bout,Paulo Costa,28.499
Claudia Gadelha,Karolina Kowalkiewicz,14_2_0,11_1_0,False,8_28,9_37,46,0,Submission,1,183,3-Jun-17,Women's Bout,Claudia Gadelha,24.207
Raphael Assuncao,Marlon Moraes,24_5_0,18_4_1,False,43_134,44_150,0,0,Decision - Split,3,300,3-Jun-17,Men's Bout,Raphael Assuncao,18.855
Antonio Carlos Junior,Eric Spicely,8_2_0,12_2_0,False,12_23,17_26,288,35,Submission,2,229,3-Jun-17,Men's Bout,Antonio Carlos Junior,21.31
Jose Aldo,Max Holloway,26_2_0,18_3_0,False,55_113,104_207,0,124,KO/TKO,3,253,3-Jun-17,Men's Title Bout,Max Holloway,28.285
Johnny Eduardo,Matthew Lopez,28_10_0,9_1_0,False,16_30,43_57,0,76,KO/TKO,1,177,3-Jun-17,Men's Bout,Matthew Lopez,24.066
Erick Silva,Yancy Medeiros,19_7_0,13_4_0,False,29_56,33_94,0,11,KO/TKO,2,121,3-Jun-17,Men's Bout,Yancy Medeiros,21.51
Iuri Alcantara,Brian Kelleher,34_7_0,16_7_0,False,12_28,4_15,7,0,Submission,1,108,3-Jun-17,Men's Bout,Brian Kelleher,18.977
Marco Beltran,Deiveson Figueiredo,8_4_0,11_0_0,False,16_40,17_26,114,288,KO/TKO,2,300,3-Jun-17,Men's Bout,Deiveson Figueiredo,19.65
Luan Chagas,Jim Wallhead,14_2_1,29_10_0,False,95_157,32_160,19,7,Submission,2,288,3-Jun-17,Men's Bout,Luan Chagas,24.288
Viviane Pereira,Jamie Moyle,12_0_0,4_1_0,False,80_208,80_156,113,9,Decision - Unanimous,3,300,3-Jun-17,Women's Bout,Viviane Pereira,30.681
Peter Sobotta,Ben Saunders,16_5_1,21_7_2,False,46_97,19_68,63,0,KO/TKO,2,149,28-May-17,Men's Bout,Peter Sobotta,18.63
Volkan Oezdemir,Misha Cirkunov,14_1_0,13_2_0,False,5_7,9_19,2,0,KO/TKO,1,28,28-May-17,Men's Bout,Volkan Oezdemir,34.321
Pedro Munhoz,Damian Stasiak,13_2_0,10_3_0,False,65_151,44_151,147,13,Decision - Unanimous,3,300,28-May-17,Men's Bout,Pedro Munhoz,21.75
Abdul Razak Alhassan,Omari Akhmedov,7_1_0,16_4_0,False,43_99,52_153,1,340,Decision - Split,3,300,28-May-17,Men's Bout,Omari Akhmedov,20.548
Jack Hermansson,Alex Nicholson,14_3_0,7_3_0,False,23_29,1_4,98,0,KO/TKO,1,120,28-May-17,Men's Bout,Jack Hermansson,13.421
Trevor Smith,Chris Camozzi,14_7_0,24_12_0,False,39_60,10_18,804,0,Decision - Unanimous,3,300,28-May-17,Men's Bout,Trevor Smith,12.591
Oliver Enkamp,Nordine Taleb,7_0_0,12_4_0,False,34_101,57_88,47,272,Decision - Unanimous,3,300,28-May-17,Men's Bout,Nordine Taleb,23.08
Nicholas Musoke,Bojan Velickovic,13_4_0,14_4_1,False,49_173,53_123,189,29,KO/TKO,3,277,28-May-17,Men's Bout,Bojan Velickovic,15.578
Reza Madadi,Joaquim Silva,14_5_0,9_1_0,False,26_62,40_142,338,121,Decision - Split,3,300,28-May-17,Men's Bout,Joaquim Silva,18.326
Alexander Gustafsson,Glover Teixeira,17_4_0,26_5_0,False,97_228,42_134,169,34,KO/TKO,5,67,28-May-17,Men's Bout,Alexander Gustafsson,18.316
Marcin Held,Damir Hadzovic,22_6_0,10_3_0,False,31_66,14_30,440,22,KO/TKO,3,7,28-May-17,Men's Bout,Damir Hadzovic,11.715
Darren Till,Jessin Ayari,13_0_1,16_3_0,False,31_69,28_112,176,46,Decision - Unanimous,3,300,28-May-17,Men's Bout,Darren Till,24.65
Demian Maia,Jorge Masvidal,24_6_0,32_11_0,False,23_38,39_63,533,53,Decision - Split,3,300,13-May-17,Men's Bout,Demian Maia,15.848
Eddie Alvarez,Dustin Poirier,24_6_0,32_11_0,False,44_127,73_144,76,0,Could Not Continue,2,242,13-May-17,Men's Bout,,18.545
Chas Skelly,Jason Knight,17_2_0,19_1_0,False,29_63,59_109,231,105,KO/TKO,3,39,13-May-17,Men's Bout,Jason Knight,25.922
Krzysztof Jotko,David Branch,19_1_0,20_3_0,False,28_85,39_122,57,312,Decision - Split,3,300,13-May-17,Men's Bout,David Branch,22.239
Frankie Edgar,Yair Rodriguez,20_5_1,12_1_0,False,72_103,16_42,506,0,TKO - Doctor's Stoppage,2,300,13-May-17,Men's Bout,Frankie Edgar,18.261
Joanna Jedrzejczyk,Jessica Andrade,13_0_0,17_5_0,False,225_352,83_218,16,211,Decision - Unanimous,5,300,13-May-17,Women's Title Bout,Joanna Jedrzejczyk,28.647
Chase Sherman,Rashad Coulter,12_3_0,8_1_0,False,103_231,36_83,58,0,KO/TKO,2,216,13-May-17,Men's Bout,Chase Sherman,26.553
Stipe Miocic,Junior Dos Santos,16_2_0,18_4_0,True,26_56,12_18,5,0,KO/TKO,1,142,13-May-17,Men's Title Bout,Stipe Miocic,55.969
James Vick,Marco Polo Reyes,10_1_0,7_3_0,False,20_52,16_42,4,0,KO/TKO,1,159,13-May-17,Men's Bout,James Vick,25.707
Gabriel Benitez,Enrique Barzola,19_6_0,13_3_1,False,51_151,46_148,0,350,Decision - Unanimous,3,300,13-May-17,Men's Bout,Enrique Barzola,14.379
Joachim Christensen,Gadzhimurad Antigulov,14_4_0,19_4_0,False,1_3,2_4,0,119,Submission,1,141,13-May-17,Men's Bout,Gadzhimurad Antigulov,8.858
Jessica Aguilar,Cortney Casey,19_5_0,6_4_0,False,57_106,103_294,388,81,Decision - Unanimous,3,300,13-May-17,Women's Bout,Cortney Casey,14.698
Jake Ellenberger,Mike Perry,31_12_0,9_1_0,False,17_41,26_55,28,9,KO/TKO,2,65,22-Apr-17,Men's Bout,Mike Perry,25.665
Al Iaquinta,Diego Sanchez,12_3_1,28_9_0,False,12_19,4_15,5,0,KO/TKO,1,98,22-Apr-17,Men's Bout,Al Iaquinta,22.326
Ovince Saint Preux,Marcos Rogerio de Lima,19_10_0,15_5_1,False,21_41,17_45,108,0,Submission,2,131,22-Apr-17,Men's Bout,Ovince Saint Preux,18.48
Dustin Ortiz,Brandon Moreno,16_6_0,14_3_0,False,16_60,24_73,287,102,Submission,2,246,22-Apr-17,Men's Bout,Brandon Moreno,9.592
John Dodson,Eddie Wineland,19_8_0,23_11_1,False,48_103,21_138,0,0,Decision - Unanimous,3,300,22-Apr-17,Men's Bout,John Dodson,19.578
Joe Lauzon,Stevie Ray,27_13_0,20_6_0,False,46_76,109_196,491,35,Decision - Majority,3,300,22-Apr-17,Men's Bout,Stevie Ray,16.457
Scott Holtzman,Michael McBride,9_2_0,8_2_0,False,104_190,83_172,401,56,Decision - Unanimous,3,300,22-Apr-17,Men's Bout,Scott Holtzman,21.36
Cub Swanson,Artem Lobov,24_7_0,13_12_1,False,209_296,123_276,143,109,Decision - Unanimous,5,300,22-Apr-17,Men's Bout,Cub Swanson,22.617
Thales Leites,Sam Alvey,26_7_0,30_8_0,False,38_68,27_89,98,21,Decision - Unanimous,3,300,22-Apr-17,Men's Bout,Thales Leites,20.063
Jessica Penne,Danielle Taylor,12_5_0,8_2_0,False,69_178,72_176,29,0,Decision - Unanimous,3,300,22-Apr-17,Women's Bout,Danielle Taylor,22.415
Bryan Barberena,Joe Proctor,12_4_0,11_4_0,False,28_45,8_23,6,0,KO/TKO,1,210,22-Apr-17,Men's Bout,Bryan Barberena,22.728
Hector Sandoval,Matt Schnell,13_3_0,10_3_0,False,32_50,16_40,58,6,KO/TKO,1,264,22-Apr-17,Men's Bout,Hector Sandoval,22.087
Alexis Davis,Cindy Dandois,17_7_0,8_2_0,False,51_123,47_146,162,398,Decision - Unanimous,3,300,22-Apr-17,Women's Bout,Alexis Davis,13.658
Jeremy Stephens,Renato Moicano,25_13_0,10_0_1,False,56_207,70_116,0,136,Decision - Split,3,300,15-Apr-17,Men's Bout,Renato Moicano,23.503
Bobby Green,Rashid Magomedov,24_7_0,19_2_0,False,75_143,75_189,148,0,Decision - Split,3,300,15-Apr-17,Men's Bout,Rashid Magomedov,24.718
Jacare Souza,Robert Whittaker,24_4_0,18_4_0,False,9_36,55_110,49,25,KO/TKO,2,208,15-Apr-17,Men's Bout,Robert Whittaker,18.843
Rose Namajunas,Michelle Waterson-Gomez,6_4_0,14_5_0,False,47_72,22_33,273,50,Submission,2,167,15-Apr-17,Women's Bout,Rose Namajunas,16.055
Louis Smolka,Tim Elliott,14_3_0,14_8_1,False,41_97,57_91,159,483,Decision - Unanimous,3,300,15-Apr-17,Men's Bout,Tim Elliott,13.733
Demetrious Johnson,Wilson Reis,25_2_1,22_6_0,False,108_186,16_168,139,1,Submission,3,289,15-Apr-17,Men's Title Bout,Demetrious Johnson,23.097
Alexander Volkov,Roy Nelson,28_6_0,22_13_0,False,122_182,32_67,23,272,Decision - Unanimous,3,300,15-Apr-17,Men's Bout,Alexander Volkov,20.281
Patrick Williams,Tom Duquesnoy,8_4_0,14_1_0,False,37_73,36_49,38,14,KO/TKO,2,28,15-Apr-17,Men's Bout,Tom Duquesnoy,27.965
Devin Clark,Jake Collier,7_1_0,10_4_0,False,68_105,36_72,465,132,Decision - Unanimous,3,300,15-Apr-17,Men's Bout,Devin Clark,20.789
Ashlee Evans-Smith,Ketlen Vieira,5_1_0,7_0_0,False,68_189,71_235,5,246,Decision - Unanimous,3,300,15-Apr-17,Women's Bout,Ketlen Vieira,27.157
Aljamain Sterling,Augusto Mendes,12_2_0,6_1_0,False,83_161,30_91,359,193,Decision - Unanimous,3,300,15-Apr-17,Men's Bout,Aljamain Sterling,21.561
Anthony Smith,Andrew Sanchez,28_12_0,10_2_0,False,49_100,63_104,67,274,KO/TKO,3,232,15-Apr-17,Men's Bout,Anthony Smith,20.601
Zak Cummings,Nathan Coy,20_5_0,15_6_0,False,25_72,23_41,11,5,Submission,1,261,15-Apr-17,Men's Bout,Zak Cummings,19.974
Will Brooks,Charles Oliveira,18_2_0,21_7_0,False,4_5,3_7,0,102,Submission,1,150,8-Apr-17,Men's Bout,Charles Oliveira,20.464
Cynthia Calvillo,Pearl Gonzalez,4_0_0,6_1_0,False,50_169,37_112,322,77,Submission,3,225,8-Apr-17,Women's Bout,Cynthia Calvillo,23.93
Myles Jury,Mike de la Torre,15_2_0,14_6_0,False,36_52,0_3,183,0,KO/TKO,1,210,8-Apr-17,Men's Bout,Myles Jury,12.842
Daniel Cormier,Anthony Johnson,18_1_0,22_5_0,True,36_41,22_36,253,158,Submission,2,217,8-Apr-17,Men's Title Bout,Daniel Cormier,51.42
Thiago Alves,Patrick Cote,21_11_0,23_10_0,False,79_157,44_131,162,33,Decision - Unanimous,3,300,8-Apr-17,Men's Bout,Thiago Alves,18.445
Chris Weidman,Gegard Mousasi,13_2_0,41_6_2,False,13_29,49_93,201,38,KO/TKO,2,193,8-Apr-17,Men's Bout,Gegard Mousasi,19.429
Kamaru Usman,Sean Strickland,9_2_0,19_1_0,False,90_171,27_103,488,0,Decision - Unanimous,3,300,8-Apr-17,Men's Bout,Kamaru Usman,22.596
Gregor Gillespie,Andrew Holbrook,8_0_0,12_1_0,False,8_12,4_9,5,0,KO/TKO,1,21,8-Apr-17,Men's Bout,Gregor Gillespie,34.396
Shane Burgos,Charles Rosa,8_0_0,11_2_0,False,77_167,86_261,10,44,KO/TKO,3,119,8-Apr-17,Men's Bout,Shane Burgos,30.298
Patrick Cummins,Jan Blachowicz,8_4_0,19_6_0,False,73_121,53_99,459,72,Decision - Unanimous,3,300,8-Apr-17,Men's Bout,Patrick Cummins,16.213
Jenel Lausa,Bibulatov Magomed,7_2_0,13_0_0,False,10_31,51_115,27,461,Decision - Unanimous,3,300,8-Apr-17,Men's Bout,Bibulatov Magomed,21.121
Josh Emmett,Desmond Green,11_0_0,19_5_0,False,41_142,57_124,0,33,Decision - Split,3,300,8-Apr-17,Men's Bout,Desmond Green,26.01
Katlyn Chookagian,Irene Aldana,8_1_0,7_3_0,False,105_273,84_223,18,0,Decision - Split,3,300,8-Apr-17,Women's Bout,Katlyn Chookagian,25.458
Joe Duffy,Reza Madadi,15_2_0,14_4_0,False,51_161,28_63,260,54,Decision - Unanimous,3,300,18-Mar-17,Men's Bout,Joe Duffy,18.848
Gunnar Nelson,Alan Jouban,15_2_1,15_4_0,False,8_18,17_33,182,0,Submission,2,46,18-Mar-17,Men's Bout,Gunnar Nelson,18.223
Daniel Omielanczuk,Timothy Johnson,19_6_1,10_3_0,False,54_93,52_104,35,522,Decision - Split,3,300,18-Mar-17,Men's Bout,Timothy Johnson,15.615
Darren Stewart,Francimar Barroso,7_1_0,18_5_0,True,31_73,28_62,238,159,Decision - Unanimous,3,300,18-Mar-17,Men's Bout,Francimar Barroso,49.024
Arnold Allen,Makwan Amirkhani,11_1_0,13_2_0,False,32_74,17_46,333,338,Decision - Split,3,300,18-Mar-17,Men's Bout,Arnold Allen,19.918
Brad Pickett,Marlon Vera,25_13_0,8_3_1,False,51_113,67_143,211,4,KO/TKO,3,230,18-Mar-17,Men's Bout,Marlon Vera,18.242
Leon Edwards,Vicente Luque,12_3_0,11_5_1,False,53_102,24_44,312,323,Decision - Unanimous,3,300,18-Mar-17,Men's Bout,Leon Edwards,14.475
Lina Lansberg,Lucie Pudilova,6_2_0,11_2_0,False,80_144,99_204,353,66,Decision - Unanimous,3,300,18-Mar-17,Women's Bout,Lina Lansberg,21.733
Marc Diakiese,Teemu Packalen,12_0_0,8_1_0,False,6_7,1_1,1,0,KO/TKO,1,30,18-Mar-17,Men's Bout,Marc Diakiese,40.508
Jimi Manuwa,Corey Anderson,16_2_0,10_2_0,False,6_13,6_27,1,0,KO/TKO,1,185,18-Mar-17,Men's Bout,Jimi Manuwa,27.269
Brad Scott,Scott Askham,10_4_0,14_3_0,False,72_175,86_195,77,25,Decision - Split,3,300,18-Mar-17,Men's Bout,Brad Scott,21.044
Alex Oliveira,Tim Means,16_4_1,27_7_1,True,12_24,9_12,289,121,Submission,2,158,11-Mar-17,Men's Bout,Alex Oliveira,39.734
Jussier Formiga,Ray Borg,19_4_0,10_2_0,False,30_62,36_88,205,262,Decision - Unanimous,3,300,11-Mar-17,Men's Bout,Ray Borg,18.202
Mauricio Rua,Gian Villante,24_10_0,15_7_0,False,94_173,55_151,4,9,KO/TKO,3,59,11-Mar-17,Men's Bout,Mauricio Rua,22.069
Sergio Moraes,Davi Ramos,11_2_1,6_1_0,False,39_93,35_122,0,0,Decision - Unanimous,3,300,11-Mar-17,Men's Bout,Sergio Moraes,27.721
Francisco Trinaldo,Kevin Lee,21_4_0,14_2_0,False,25_59,15_43,45,157,Submission,2,192,11-Mar-17,Men's Bout,Kevin Lee,19.596
Vitor Belfort,Kelvin Gastelum,21_4_0,14_2_0,False,10_28,26_49,0,43,Overturned,1,232,11-Mar-17,Men's Bout,,23.139
Rani Yahya,Joe Soto,23_8_0,17_5_0,False,59_215,54_113,57,280,Decision - Unanimous,3,300,11-Mar-17,Men's Bout,Joe Soto,13.948
Edson Barboza,Beneil Dariush,19_4_0,14_2_0,False,30_82,51_121,3,0,KO/TKO,2,215,11-Mar-17,Men's Bout,Edson Barboza,24.759
Bethe Correia,Marion Reneau,10_2_0,7_3_0,False,43_95,75_132,202,240,Decision - Majority,3,300,11-Mar-17,Women's Bout,,18.656
Garreth McLellan,Paulo Costa,13_5_0,8_0_0,False,6_14,22_32,0,5,KO/TKO,1,77,11-Mar-17,Men's Bout,Paulo Costa,28.864
Michel Prazeres,Joshua Burkman,21_2_0,28_13_0,False,24_34,1_1,72,0,Submission,1,102,11-Mar-17,Men's Bout,Michel Prazeres,21.646
Rony Jason,Jeremy Kennedy,14_6_0,9_0_0,False,18_36,46_74,233,397,Decision - Unanimous,3,300,11-Mar-17,Men's Bout,Jeremy Kennedy,20.764
Iuri Alcantara,Luke Sanders,33_7_0,11_0_0,False,23_75,94_134,6,218,Submission,2,193,4-Mar-17,Men's Bout,Iuri Alcantara,21.283
Alistair Overeem,Mark Hunt,41_15_0,12_10_1,False,55_70,21_51,213,0,KO/TKO,3,104,4-Mar-17,Men's Bout,Alistair Overeem,21.014
Lando Vannata,David Teymur,9_1_0,5_1_0,False,76_141,90_192,7,50,Decision - Unanimous,3,300,4-Mar-17,Men's Bout,David Teymur,32.826
Tyron Woodley,Stephen Thompson,16_3_1,13_1_1,True,54_125,53_146,117,19,Decision - Majority,5,300,4-Mar-17,Men's Title Bout,Tyron Woodley,54.934
Rashad Evans,Daniel Kelly,19_5_1,12_1_0,False,53_138,74_193,7,11,Decision - Split,3,300,4-Mar-17,Men's Bout,Daniel Kelly,25.993
Amanda Cooper,Cynthia Calvillo,2_2_0,3_0_0,False,7_28,13_26,0,107,Submission,1,199,4-Mar-17,Women's Bout,Cynthia Calvillo,18.537
Mirsad Bektic,Darren Elkins,11_0_0,22_5_0,False,60_98,28_59,544,82,KO/TKO,3,199,4-Mar-17,Men's Bout,Darren Elkins,20.222
Tyson Pedro,Paul Craig,6_0_0,9_0_0,False,23_35,12_24,157,6,KO/TKO,1,250,4-Mar-17,Men's Bout,Tyson Pedro,29.987
Marcin Tybura,Luis Henrique,14_2_0,10_2_0,False,50_66,14_25,173,503,KO/TKO,3,226,4-Mar-17,Men's Bout,Marcin Tybura,21.83
Albert Morales,Andre Soukhamthath,6_1_1,11_3_0,False,56_132,46_116,282,138,Decision - Split,3,300,4-Mar-17,Men's Bout,Albert Morales,18.563
Mark Godbeer,Daniel Spitz,11_3_0,5_0_0,False,92_167,51_136,73,64,Decision - Unanimous,3,300,4-Mar-17,Men's Bout,Mark Godbeer,28.237
Nordine Taleb,Santiago Ponzinibbio,12_3_0,24_3_0,False,48_121,53_171,0,118,Decision - Unanimous,3,300,19-Feb-17,Men's Bout,Santiago Ponzinibbio,22.206
Sara McMann,Gina Mazany,10_3_0,5_0_0,False,7_14,0_2,62,0,Submission,1,74,19-Feb-17,Women's Bout,Sara McMann,14.878
Paul Felder,Alex Ricci,12_3_0,10_4_0,False,23_71,21_59,3,0,KO/TKO,1,284,19-Feb-17,Men's Bout,Paul Felder,20.027
Sam Sicilia,Gavin Tucker,15_7_0,9_0_0,False,10_87,55_163,26,15,Decision - Unanimous,3,300,19-Feb-17,Men's Bout,Gavin Tucker,23.156
Johny Hendricks,Hector Lombard,17_6_0,34_6_1,False,51_136,37_103,0,122,Decision - Unanimous,3,300,19-Feb-17,Men's Bout,Johny Hendricks,17.969
Elias Theodorou,Cezar Ferreira,12_1_0,11_5_0,False,38_116,11_38,162,105,Decision - Unanimous,3,300,19-Feb-17,Men's Bout,Elias Theodorou,20.515
Gerald Meerschaert,Ryan Janes,26_8_0,9_1_0,False,3_6,3_8,0,78,Submission,1,94,19-Feb-17,Men's Bout,Gerald Meerschaert,15.723
Carla Esparza,Randa Markos,12_3_0,6_5_0,False,32_132,48_110,166,18,Decision - Split,3,300,19-Feb-17,Women's Bout,Randa Markos,16.715
Aiemann Zahabi,Reginaldo Vieira,6_0_0,13_4_0,False,44_112,64_190,12,143,Decision - Unanimous,3,300,19-Feb-17,Men's Bout,Aiemann Zahabi,24.662
Jack Marshman,Thiago Santos,21_5_0,13_5_0,False,6_46,27_71,4,100,KO/TKO,2,141,19-Feb-17,Men's Bout,Thiago Santos,13.646
Derrick Lewis,Travis Browne,17_5_0,18_5_1,False,39_71,21_47,100,4,KO/TKO,2,192,19-Feb-17,Men's Bout,Derrick Lewis,20.189
Anderson Silva,Derek Brunson,33_8_0,16_4_0,False,43_78,54_101,0,228,Decision - Unanimous,3,300,11-Feb-17,Men's Bout,Anderson Silva,20.31
Jacare Souza,Tim Boetsch,23_4_0,20_10_0,False,7_18,6_10,74,0,Submission,1,221,11-Feb-17,Men's Bout,Jacare Souza,18.204
