R_fighter,B_fighter,R_record,B_record,Rematch,R_SIG_STR.,B_SIG_STR.,R_CTRL,B_CTRL,win_by,last_round,last_round_time,date,Fight_type,Winner,Excitement
Jim Miller,Matt Wiman,12_1_0,10_3_0,False,61_137,20_56,638,50,Decision - Unanimous,3,300,10-Dec-08,Men's Bout,Jim Miller,16.413
Ben Saunders,Brandon Wolff,15_3_2,7_3_0,False,42_51,0_1,48,6,KO/TKO,1,109,10-Dec-08,Men's Bout,Ben Saunders,15.953
Steve Bruno,Johnny Rees,14_5_0,13_4_0,False,10_18,36_52,301,150,Submission,2,224,10-Dec-08,Men's Bout,Steve Bruno,12.409
Luigi Fioravanti,Brodie Farber,25_14_0,16_6_0,False,30_55,10_29,592,30,Decision - Unanimous,3,300,10-Dec-08,Men's Bout,Luigi Fioravanti,12.316
Tim Credeur,Nate Loughran,10_2_0,11_1_0,False,52_131,25_62,212,0,KO/TKO,2,300,10-Dec-08,Men's Bout,Tim Credeur,24.554
Mike Swick,Jonathan Goulet,12_2_0,23_10_0,False,7_8,1_3,9,0,KO/TKO,1,33,10-Dec-08,Men's Bout,Mike Swick,24.683
Dale Hartt,Corey Hill,5_2_0,6_8_0,False,8_18,8_25,7,141,KO/TKO,2,20,10-Dec-08,Men's Bout,Dale Hartt,14.761
Steve Cantwell,Razak Al-Hassan,6_1_0,13_3_0,False,15_29,13_56,78,17,Submission,1,244,10-Dec-08,Men's Bout,Steve Cantwell,21.634
Justin McCully,Eddie Sanchez,10_4_2,15_7_0,False,40_88,42_100,394,136,Decision - Unanimous,3,300,10-Dec-08,Men's Bout,Justin McCully,13.187
Kenny Florian,Joe Stevenson,10_3_0,31_10_0,False,17_37,6_18,66,77,Submission,1,243,15-Nov-08,Men's Bout,Kenny Florian,12.875
Mark Bocek,Alvin Robinson,5_2_0,15_8_0,False,21_44,5_14,699,54,Submission,3,196,15-Nov-08,Men's Bout,Mark Bocek,8.655
Demian Maia,Nate Quarry,9_0_0,10_2_0,False,2_4,0_0,105,6,Submission,1,133,15-Nov-08,Men's Bout,Demian Maia,17.61
Jeremy Stephens,Rafael Dos Anjos,15_3_0,11_2_0,False,22_46,9_18,142,309,KO/TKO,3,39,15-Nov-08,Men's Bout,Jeremy Stephens,17.631
Brock Lesnar,Randy Couture,2_1_0,16_8_0,False,31_42,11_19,170,186,KO/TKO,2,187,15-Nov-08,Men's Title Bout,Brock Lesnar,18.375
Dustin Hazelett,Tamdan McCrory,11_4_0,12_1_0,False,10_21,15_28,0,74,Submission,1,239,15-Nov-08,Men's Bout,Dustin Hazelett,24.423
Aaron Riley,Jorge Gurgel,27_10_1,14_9_0,False,98_222,70_199,147,12,Decision - Unanimous,3,300,15-Nov-08,Men's Bout,Aaron Riley,18.287
Gabriel Gonzaga,Josh Hendricks,10_3_0,19_10_0,False,12_17,1_5,4,0,KO/TKO,1,61,15-Nov-08,Men's Bout,Gabriel Gonzaga,21.877
Matt Brown,Ryan Thomas,10_7_0,20_7_0,False,15_23,15_22,45,262,Submission,2,57,15-Nov-08,Men's Bout,Matt Brown,13.692
Thales Leites,Drew McFedries,19_2_0,11_5_0,False,0_0,1_2,63,0,Submission,1,78,25-Oct-08,Men's Bout,Thales Leites,8.214
Junior Dos Santos,Fabricio Werdum,6_1_0,14_4_1,False,7_11,6_6,3,0,KO/TKO,1,81,25-Oct-08,Men's Bout,Junior Dos Santos,30.627
Spencer Fisher,Shannon Gugerty,21_4_0,14_4_0,False,30_54,28_46,168,379,Submission,3,236,25-Oct-08,Men's Bout,Spencer Fisher,16.029
Thiago Alves,Josh Koscheck,16_5_0,11_3_0,False,80_181,39_128,17,158,Decision - Unanimous,3,300,25-Oct-08,Men's Bout,Thiago Alves,18.344
Anderson Silva,Patrick Cote,24_4_0,17_4_0,False,29_40,16_49,97,28,KO/TKO,3,39,25-Oct-08,Men's Title Bout,Anderson Silva,22.734
Gray Maynard,Rich Clementi,5_0_0,45_21_1,False,22_61,7_42,581,13,Decision - Unanimous,3,300,25-Oct-08,Men's Bout,Gray Maynard,16.036
Dan Miller,Matt Horwich,9_1_0,30_23_1,False,31_49,15_24,627,222,Decision - Unanimous,3,300,25-Oct-08,Men's Bout,Dan Miller,17.766
Sean Sherk,Tyson Griffin,34_3_1,13_3_0,False,92_253,74_240,151,0,Decision - Unanimous,3,300,25-Oct-08,Men's Bout,Sean Sherk,22.135
Hermes Franca,Marcus Aurelio,23_16_0,22_8_0,False,60_122,40_104,2,110,Decision - Unanimous,3,300,25-Oct-08,Men's Bout,Hermes Franca,20.057
Pete Sell,Joshua Burkman,9_6_0,27_8_0,False,65_123,50_112,82,232,Decision - Unanimous,3,300,25-Oct-08,Men's Bout,Pete Sell,17.931
Michael Bisping,Chris Leben,16_1_0,18_4_0,False,70_160,51_164,30,47,Decision - Unanimous,3,300,18-Oct-08,Men's Bout,Michael Bisping,25.898
David Bielkheden,Jess Liaudin,23_11_0,20_10_0,False,36_53,12_25,594,194,Decision - Unanimous,3,300,18-Oct-08,Men's Bout,David Bielkheden,12.571
Chris Lytle,Paul Taylor,25_16_5,9_3_1,False,102_194,85_160,479,64,Decision - Unanimous,3,300,18-Oct-08,Men's Bout,Chris Lytle,14.915
Marcus Davis,Paul Kelly,19_7_0,10_1_0,False,25_63,3_56,46,23,Submission,2,136,18-Oct-08,Men's Bout,Marcus Davis,21.837
Dan Hardy,Akihiro Gono,19_6_0,35_19_8,False,57_186,56_107,2,66,Decision - Split,3,300,18-Oct-08,Men's Bout,Dan Hardy,18.942
Keith Jardine,Brandon Vera,16_7_2,12_2_0,False,50_131,48_86,220,38,Decision - Split,3,300,18-Oct-08,Men's Bout,Keith Jardine,20.872
Luiz Cane,Rameau Thierry Sokoudjou,14_3_0,18_17_0,False,41_78,28_82,13,0,KO/TKO,2,255,18-Oct-08,Men's Bout,Luiz Cane,23.115
Shane Carwin,Neil Wain,9_0_0,13_3_0,False,13_23,4_8,62,0,KO/TKO,1,91,18-Oct-08,Men's Bout,Shane Carwin,22.58
Per Eklund,Samy Schiavo,13_4_1,10_5_0,False,31_42,23_56,243,318,Submission,3,107,18-Oct-08,Men's Bout,Per Eklund,13.602
Jim Miller,David Baron,11_1_0,17_3_1,False,15_28,7_16,645,55,Submission,3,199,18-Oct-08,Men's Bout,Jim Miller,18.227
Terry Etim,Sam Stout,11_2_0,13_4_1,False,69_192,55_288,3,5,Decision - Unanimous,3,300,18-Oct-08,Men's Bout,Terry Etim,21.655
Nate Diaz,Josh Neer,10_2_0,33_10_1,False,40_72,26_50,449,336,Decision - Split,3,300,17-Sep-08,Men's Bout,Nate Diaz,14.488
Alessio Sakara,Joe Vedepo,16_7_0,18_7_0,False,7_10,7_9,0,23,KO/TKO,1,87,17-Sep-08,Men's Bout,Alessio Sakara,22.942
Clay Guida,Mac Danzig,23_6_0,18_4_1,False,43_106,36_108,516,34,Decision - Unanimous,3,300,17-Sep-08,Men's Bout,Clay Guida,11.608
Wilson Gouveia,Ryan Jensen,12_6_0,19_4_0,False,8_19,30_72,14,220,Submission,2,124,17-Sep-08,Men's Bout,Wilson Gouveia,13.791
Alan Belcher,Ed Herman,12_5_0,17_7_0,False,54_90,43_130,144,289,Decision - Split,3,300,17-Sep-08,Men's Bout,Alan Belcher,15.839
Eric Schafer,Houston Alexander,12_4_2,17_13_1,False,24_38,12_21,196,32,Submission,1,293,17-Sep-08,Men's Bout,Eric Schafer,14.117
Jason Brilz,Brad Morris,19_2_1,10_5_0,False,34_42,4_4,447,5,KO/TKO,2,174,17-Sep-08,Men's Bout,Jason Brilz,18.426
