R_fighter                 ,B_fighter                 ,R_record  ,B_record  ,Rematch ,R_KD ,B_KD ,R_SIG_STR. ,B_SIG_STR. ,R_TOTAL_STR. ,B_TOTAL_STR. ,R_TD     ,B_TD     ,R_SUB_ATT ,B_SUB_ATT ,R_CTRL ,B_CTRL ,R_HEAD  ,B_HEAD  ,win_by                  ,last_round ,last_round_time ,Format               ,date      ,Fight_type         ,Winner
Frankie Edgar             ,Brian Ortega              ,21_5_1    ,13_0_0    ,False   ,   0 ,   1 ,27_77      ,25_76      ,27_77        ,25_77        ,0 of 1   ,0 of 0   ,        0 ,        0 ,     0 ,     2 ,12_59   ,21_71   ,KO/TKO                  ,         1 ,            284 ,3 Rnd (5-5-5)        ,3-Mar-18  ,Men's Bout         ,Brian Ortega
Cristiane Justino         ,Yana Santos               ,19_1_0    ,10_3_0    ,False   ,   0 ,   0 ,33_43      ,5_11       ,42_54        ,17_24        ,1 of 1   ,1 of 4   ,        0 ,        0 ,    21 ,   141 ,22_31   ,2_4     ,KO/TKO                  ,         1 ,            205 ,5 Rnd (5-5-5-5-5)    ,3-Mar-18  ,Women's Title Bout ,Cristiane Justino
Stefan Struve             ,Andrei Arlovski           ,32_9_0    ,26_15_0   ,False   ,   0 ,   0 ,34_74      ,46_88      ,37_78        ,76_121       ,0 of 3   ,4 of 9   ,        0 ,        0 ,    77 ,   271 ,9_40    ,12_42   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,3-Mar-18  ,Men's Bout         ,Andrei Arlovski
John Dodson               ,Pedro Munhoz              ,20_9_0    ,15_2_0    ,False   ,   0 ,   0 ,76_184     ,69_172     ,76_184       ,73_176       ,0 of 0   ,1 of 1   ,        0 ,        0 ,     0 ,    62 ,47_151  ,39_118  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,3-Mar-18  ,Men's Bout         ,John Dodson
Beneil Dariush            ,Alexander Hernandez       ,14_3_1    ,8_2_0     ,False   ,   0 ,   1 ,4_11       ,8_13       ,4_11         ,9_14         ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     1 ,2_7     ,5_10    ,KO/TKO                  ,         1 ,             42 ,3 Rnd (5-5-5)        ,3-Mar-18  ,Men's Bout         ,Alexander Hernandez
Ashley Yoder              ,Mackenzie Dern            ,5_4_0     ,5_1_0     ,False   ,   1 ,   0 ,52_142     ,70_143     ,73_165       ,76_149       ,0 of 0   ,1 of 6   ,        0 ,        1 ,    42 ,   350 ,27_109  ,39_111  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,3-Mar-18  ,Women's Bout       ,Mackenzie Dern
Jordan Johnson            ,Adam Milstead             ,8_0_0     ,8_2_0     ,False   ,   0 ,   0 ,59_106     ,58_133     ,176_239      ,70_145       ,2 of 11  ,0 of 0   ,        0 ,        0 ,   433 ,     0 ,44_88   ,47_121  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,3-Mar-18  ,Men's Bout         ,Jordan Johnson
CB Dollaway               ,Hector Lombard            ,16_8_0    ,34_8_1    ,False   ,   0 ,   1 ,13_19      ,19_33      ,13_19        ,19_33        ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,4_7     ,8_18    ,DQ                      ,         1 ,            300 ,3 Rnd (5-5-5)        ,3-Mar-18  ,Men's Bout         ,CB Dollaway
Bryan Caraway             ,Cody Stamann              ,21_7_0    ,16_1_0    ,False   ,   0 ,   0 ,59_168     ,95_166     ,116_236      ,115_186      ,1 of 23  ,0 of 1   ,        0 ,        0 ,   299 ,     0 ,50_156  ,67_132  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,3-Mar-18  ,Men's Bout         ,Cody Stamann
Mike Pyle                 ,Zak Ottow                 ,27_13_1   ,15_5_0    ,False   ,   0 ,   1 ,4_20       ,22_50      ,4_20         ,26_56        ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,    20 ,1_15    ,18_40   ,KO/TKO                  ,         1 ,            154 ,3 Rnd (5-5-5)        ,3-Mar-18  ,Men's Bout         ,Zak Ottow
