R_fighter                 ,B_fighter                 ,R_record  ,B_record  ,Rematch ,R_KD ,B_KD ,R_SIG_STR. ,B_SIG_STR. ,R_TOTAL_STR. ,B_TOTAL_STR. ,R_TD     ,B_TD     ,R_SUB_ATT ,B_SUB_ATT ,R_CTRL ,B_CTRL ,R_HEAD  ,B_HEAD  ,win_by                  ,last_round ,last_round_time ,Format               ,date      ,Fight_type         ,Winner
Danny Henry               ,Dan Ige                   ,12_2_0    ,10_3_0    ,False   ,   0 ,   1 ,4_7        ,10_17      ,4_7          ,10_17        ,0 of 0   ,1 of 1   ,        0 ,        1 ,     0 ,    31 ,2_5     ,7_14    ,Submission              ,         1 ,             77 ,3 Rnd (5-5-5)        ,16-Mar-19 ,Men's Bout         ,Dan Ige
Elizeu Zaleski dos Santos ,Curtis Millender          ,20_5_1    ,17_3_0    ,False   ,   0 ,   0 ,6_9        ,0_1        ,10_13        ,0_1          ,1 of 1   ,0 of 0   ,        1 ,        0 ,   128 ,     0 ,4_6     ,0_1     ,Submission              ,         1 ,            155 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Men's Bout         ,Elizeu Zaleski dos Santos
Tim Means                 ,Niko Price                ,29_10_1   ,12_2_0    ,False   ,   0 ,   1 ,31_48      ,32_67      ,35_54        ,36_73        ,1 of 1   ,0 of 0   ,        0 ,        0 ,   111 ,     2 ,27_44   ,21_48   ,KO/TKO                  ,         1 ,            290 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Men's Bout         ,Niko Price
Derrick Lewis             ,Junior Dos Santos         ,21_7_0    ,20_5_0    ,False   ,   0 ,   1 ,7_25       ,29_55      ,7_25         ,29_55        ,0 of 0   ,0 of 0   ,        0 ,        0 ,     2 ,    11 ,2_17    ,15_37   ,KO/TKO                  ,         2 ,            118 ,5 Rnd (5-5-5-5-5)    ,9-Mar-19  ,Men's Bout         ,Junior Dos Santos
Anthony Rocco Martin      ,Sergio Moraes             ,15_4_0    ,14_3_1    ,False   ,   0 ,   0 ,50_152     ,19_83      ,70_172       ,24_88        ,0 of 0   ,3 of 3   ,        0 ,        0 ,   132 ,    87 ,29_123  ,13_75   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Men's Bout         ,Anthony Rocco Martin
Beneil Dariush            ,Drew Dober                ,15_4_1    ,21_8_0    ,False   ,   0 ,   0 ,37_65      ,31_58      ,41_69        ,38_66        ,2 of 5   ,0 of 0   ,        1 ,        0 ,   317 ,    61 ,22_47   ,17_44   ,Submission              ,         2 ,            281 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Men's Bout         ,Beneil Dariush
Marion Reneau             ,Yana Santos               ,9_4_1     ,11_4_0    ,False   ,   0 ,   0 ,58_142     ,98_223     ,64_148       ,113_239      ,1 of 1   ,1 of 1   ,        0 ,        0 ,    20 ,   171 ,42_121  ,35_138  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Women's Bout       ,Yana Santos
Tim Boetsch               ,Omari Akhmedov            ,21_12_0   ,17_4_1    ,False   ,   0 ,   0 ,41_97      ,52_135     ,64_121       ,58_141       ,0 of 2   ,0 of 2   ,        0 ,        0 ,     2 ,   194 ,20_66   ,32_110  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Men's Bout         ,Omari Akhmedov
Maurice Greene            ,Jeff Hughes               ,6_3_0     ,10_1_0    ,False   ,   0 ,   0 ,70_161     ,66_143     ,72_163       ,67_144       ,0 of 0   ,0 of 1   ,        0 ,        0 ,    19 ,    45 ,42_114  ,42_107  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Men's Bout         ,Maurice Greene
Blagoy Ivanov             ,Ben Rothwell              ,16_2_0    ,36_10_0   ,False   ,   0 ,   0 ,72_178     ,70_163     ,73_179       ,70_163       ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,50_156  ,47_135  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Men's Bout         ,Blagoy Ivanov
Grant Dawson              ,Julian Erosa              ,12_2_0    ,23_7_0    ,False   ,   0 ,   0 ,57_128     ,49_85      ,86_166       ,70_109       ,6 of 11  ,0 of 0   ,        1 ,        1 ,   607 ,    17 ,48_115  ,37_67   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Men's Bout         ,Grant Dawson
Alex White                ,Dan Moret                 ,12_5_0    ,13_4_0    ,False   ,   0 ,   0 ,49_82      ,42_88      ,70_104       ,50_96        ,2 of 3   ,1 of 9   ,        3 ,        0 ,   207 ,   455 ,31_63   ,29_71   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Men's Bout         ,Alex White
Alex Morono               ,Zak Ottow                 ,15_6_0    ,17_6_0    ,False   ,   0 ,   0 ,25_55      ,10_31      ,25_55        ,10_31        ,0 of 0   ,1 of 1   ,        1 ,        0 ,    31 ,     6 ,22_50   ,6_20    ,KO/TKO                  ,         1 ,            214 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Men's Bout         ,Alex Morono
Louis Smolka              ,Matt Schnell              ,15_5_0    ,12_4_0    ,False   ,   0 ,   0 ,13_24      ,14_40      ,14_25        ,16_42        ,0 of 0   ,1 of 1   ,        0 ,        2 ,    78 ,    28 ,9_17    ,11_35   ,Submission              ,         1 ,            198 ,3 Rnd (5-5-5)        ,9-Mar-19  ,Men's Bout         ,Matt Schnell
Jon Jones                 ,Anthony Smith             ,23_1_0    ,33_13_0   ,False   ,   0 ,   0 ,125_167    ,36_66      ,238_287      ,45_75        ,3 of 8   ,0 of 0   ,        0 ,        0 ,   779 ,     0 ,45_80   ,15_40   ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,2-Mar-19  ,Men's Title Bout   ,Jon Jones
Robbie Lawler             ,Ben Askren                ,28_12_0   ,18_0_0    ,False   ,   0 ,   0 ,26_29      ,0_1        ,30_33        ,3_5          ,1 of 1   ,1 of 2   ,        0 ,        1 ,    33 ,   119 ,21_24   ,0_1     ,Submission              ,         1 ,            200 ,3 Rnd (5-5-5)        ,2-Mar-19  ,Men's Bout         ,Ben Askren
Cody Garbrandt            ,Pedro Munhoz              ,11_2_0    ,17_3_0    ,False   ,   0 ,   1 ,21_60      ,25_47      ,21_60        ,28_51        ,0 of 0   ,0 of 1   ,        0 ,        0 ,     4 ,    21 ,19_50   ,16_36   ,KO/TKO                  ,         1 ,            292 ,3 Rnd (5-5-5)        ,2-Mar-19  ,Men's Bout         ,Pedro Munhoz
Tyron Woodley             ,Kamaru Usman              ,19_3_1    ,14_2_0    ,False   ,   0 ,   0 ,34_51      ,141_194    ,60_79        ,336_390      ,0 of 1   ,2 of 6   ,        0 ,        0 ,     0 ,  1093 ,12_28   ,56_104  ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,2-Mar-19  ,Men's Title Bout   ,Kamaru Usman
Jeremy Stephens           ,Zabit Magomedsharipov     ,28_15_0   ,16_1_0    ,False   ,   0 ,   0 ,41_121     ,70_129     ,45_125       ,83_146       ,0 of 0   ,3 of 8   ,        0 ,        0 ,     1 ,   157 ,20_92   ,43_95   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,2-Mar-19  ,Men's Bout         ,Zabit Magomedsharipov
Tecia Torres              ,Zhang Weili               ,10_3_0    ,18_1_0    ,False   ,   0 ,   0 ,30_62      ,63_142     ,33_65        ,118_204      ,0 of 1   ,2 of 8   ,        0 ,        0 ,    68 ,   280 ,14_41   ,29_76   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,2-Mar-19  ,Women's Bout       ,Zhang Weili
Edmen Shahbazyan          ,Charles Byrd              ,8_0_0     ,10_5_0    ,False   ,   1 ,   0 ,13_21      ,1_6        ,13_21        ,1_6          ,0 of 0   ,0 of 1   ,        0 ,        0 ,     2 ,     3 ,13_20   ,0_5     ,KO/TKO                  ,         1 ,             38 ,3 Rnd (5-5-5)        ,2-Mar-19  ,Men's Bout         ,Edmen Shahbazyan
Misha Cirkunov            ,Johnny Walker             ,14_4_0    ,16_3_0    ,False   ,   0 ,   1 ,1_2        ,4_8        ,1_2          ,4_8          ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     4 ,0_1     ,4_8     ,KO/TKO                  ,         1 ,             36 ,3 Rnd (5-5-5)        ,2-Mar-19  ,Men's Bout         ,Johnny Walker
Cody Stamann              ,Alejandro Perez           ,17_2_0    ,22_6_1    ,False   ,   0 ,   0 ,48_121     ,41_121     ,49_122       ,51_133       ,0 of 8   ,1 of 2   ,        0 ,        0 ,    82 ,    29 ,21_77   ,17_87   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,2-Mar-19  ,Men's Bout         ,Cody Stamann
Polyana Viana             ,Hannah Cifers             ,10_2_0    ,8_3_0     ,False   ,   0 ,   1 ,77_174     ,67_155     ,125_236      ,91_182       ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,   278 ,29_114  ,21_83   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,2-Mar-19  ,Women's Bout       ,Hannah Cifers
Gina Mazany               ,Macy Chiasson             ,6_2_0     ,4_0_0     ,False   ,   0 ,   1 ,14_25      ,25_49      ,24_36        ,25_49        ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,    27 ,6_16    ,15_37   ,KO/TKO                  ,         1 ,            109 ,3 Rnd (5-5-5)        ,2-Mar-19  ,Women's Bout       ,Macy Chiasson
Diego Sanchez             ,Mickey Gall               ,29_11_0   ,5_1_0     ,False   ,   0 ,   0 ,56_87      ,23_65      ,61_92        ,35_80        ,4 of 4   ,0 of 0   ,        0 ,        0 ,   357 ,    19 ,37_63   ,19_59   ,KO/TKO                  ,         2 ,            253 ,3 Rnd (5-5-5)        ,2-Mar-19  ,Men's Bout         ,Diego Sanchez
Stefan Struve             ,Marcos Rogerio de Lima    ,32_11_0   ,16_6_1    ,False   ,   0 ,   1 ,0_3        ,25_32      ,2_7          ,68_79        ,1 of 1   ,0 of 0   ,        1 ,        0 ,   110 ,   316 ,0_2     ,18_25   ,Submission              ,         2 ,            141 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Men's Bout         ,Stefan Struve
Liz Carmouche             ,Lucie Pudilova            ,12_6_0    ,13_4_0    ,False   ,   0 ,   0 ,14_29      ,33_105     ,40_56        ,57_133       ,3 of 3   ,0 of 1   ,        2 ,        2 ,   358 ,    78 ,3_12    ,13_77   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Women's Bout       ,Liz Carmouche
Dwight Grant              ,Carlo Pedersoli Jr.       ,8_2_0     ,11_2_0    ,False   ,   1 ,   0 ,20_53      ,17_45      ,22_55        ,17_45        ,0 of 0   ,1 of 5   ,        0 ,        0 ,     5 ,    19 ,14_47   ,7_32    ,KO/TKO                  ,         1 ,            299 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Men's Bout         ,Dwight Grant
Jan Blachowicz            ,Thiago Santos             ,23_7_0    ,20_6_0    ,False   ,   0 ,   1 ,20_53      ,52_104     ,20_53        ,52_104       ,0 of 1   ,1 of 1   ,        0 ,        0 ,     5 ,     8 ,7_31    ,21_58   ,KO/TKO                  ,         3 ,             39 ,5 Rnd (5-5-5-5-5)    ,23-Feb-19 ,Men's Bout         ,Thiago Santos
Gian Villante             ,Michal Oleksiejczuk       ,17_10_0   ,13_2_0    ,False   ,   0 ,   1 ,9_20       ,14_22      ,9_20         ,14_22        ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     2 ,6_12    ,10_18   ,KO/TKO                  ,         1 ,             94 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Men's Bout         ,Michal Oleksiejczuk
Daniel Teymur             ,Chris Fishgold            ,6_2_0     ,17_2_1    ,False   ,   0 ,   0 ,17_33      ,14_32      ,31_50        ,19_39        ,1 of 1   ,5 of 10  ,        0 ,        2 ,    78 ,   187 ,14_29   ,13_31   ,Submission              ,         2 ,             70 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Men's Bout         ,Chris Fishgold
Magomed Ankalaev          ,Klidson Abreu             ,10_1_0    ,14_2_0    ,False   ,   1 ,   0 ,30_67      ,23_62      ,66_107       ,32_73        ,1 of 3   ,0 of 5   ,        0 ,        0 ,   348 ,    28 ,22_55   ,10_41   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Men's Bout         ,Magomed Ankalaev
John Dodson               ,Petr Yan                  ,21_10_0   ,11_1_0    ,False   ,   1 ,   0 ,30_81      ,80_155     ,35_86        ,102_180      ,2 of 8   ,2 of 5   ,        0 ,        0 ,    37 ,    89 ,18_65   ,61_131  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Men's Bout         ,Petr Yan
Damir Ismagulov           ,Joel Alvarez              ,20_1_0    ,15_1_0    ,False   ,   0 ,   0 ,64_150     ,38_127     ,64_150       ,38_127       ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,25_85   ,26_107  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Men's Bout         ,Damir Ismagulov
Veronica Hardy            ,Gillian Robertson         ,5_2_1     ,5_3_0     ,False   ,   0 ,   0 ,23_41      ,5_8        ,35_59        ,10_14        ,1 of 1   ,2 of 4   ,        0 ,        1 ,   110 ,   267 ,21_38   ,5_7     ,Submission              ,         2 ,            207 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Women's Bout       ,Gillian Robertson
Damir Hadzovic            ,Marco Polo Reyes          ,12_4_0    ,8_4_0     ,False   ,   0 ,   0 ,58_109     ,24_107     ,70_121       ,26_109       ,2 of 3   ,0 of 0   ,        0 ,        0 ,   139 ,     0 ,48_98   ,13_88   ,KO/TKO                  ,         2 ,            123 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Men's Bout         ,Damir Hadzovic
Michel Prazeres           ,Ismail Naurdiev           ,26_2_0    ,17_2_0    ,False   ,   0 ,   0 ,15_35      ,63_103     ,25_47        ,105_157      ,3 of 13  ,0 of 1   ,        0 ,        1 ,   359 ,   229 ,11_29   ,36_70   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Men's Bout         ,Ismail Naurdiev
Rustam Khabilov           ,Diego Ferreira            ,23_3_0    ,14_2_0    ,False   ,   0 ,   0 ,43_147     ,83_284     ,44_149       ,91_293       ,3 of 12  ,0 of 0   ,        0 ,        1 ,    62 ,    13 ,32_126  ,55_237  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,23-Feb-19 ,Men's Bout         ,Diego Ferreira
Alex Caceres              ,Kron Gracie               ,14_12_0   ,4_0_0     ,False   ,   0 ,   0 ,4_14       ,2_10       ,4_14         ,3_11         ,0 of 0   ,1 of 2   ,        0 ,        1 ,     0 ,    74 ,3_13    ,1_6     ,Submission              ,         1 ,            126 ,3 Rnd (5-5-5)        ,17-Feb-19 ,Men's Bout         ,Kron Gracie
Benito Lopez              ,Manny Bermudez            ,9_0_0     ,13_0_0    ,False   ,   0 ,   0 ,7_12       ,7_10       ,11_16        ,14_19        ,0 of 0   ,1 of 1   ,        0 ,        1 ,    59 ,    92 ,3_8     ,3_6     ,Submission              ,         1 ,            189 ,3 Rnd (5-5-5)        ,17-Feb-19 ,Men's Bout         ,Manny Bermudez
James Vick                ,Paul Felder               ,13_2_0    ,15_4_0    ,False   ,   0 ,   0 ,61_121     ,55_119     ,69_129       ,70_134       ,0 of 0   ,0 of 0   ,        0 ,        0 ,   134 ,    73 ,24_75   ,31_79   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Feb-19 ,Men's Bout         ,Paul Felder
Francis Ngannou           ,Cain Velasquez            ,12_3_0    ,14_2_0    ,False   ,   0 ,   0 ,6_10       ,1_3        ,6_10         ,1_3          ,0 of 0   ,0 of 1   ,        0 ,        0 ,     0 ,     2 ,6_10    ,0_1     ,KO/TKO                  ,         1 ,             26 ,5 Rnd (5-5-5-5-5)    ,17-Feb-19 ,Men's Bout         ,Francis Ngannou
Andre Fili                ,Myles Jury                ,18_6_0    ,17_3_0    ,False   ,   0 ,   1 ,98_226     ,76_143     ,98_226       ,81_148       ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,    50 ,65_179  ,47_110  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Feb-19 ,Men's Bout         ,Andre Fili
Jimmie Rivera             ,Aljamain Sterling         ,22_2_0    ,16_3_0    ,False   ,   0 ,   0 ,24_84      ,101_176    ,36_97        ,129_206      ,0 of 0   ,0 of 7   ,        0 ,        0 ,   170 ,   165 ,8_59    ,36_96   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Feb-19 ,Men's Bout         ,Aljamain Sterling
Vicente Luque             ,Bryan Barberena           ,14_6_1    ,14_5_0    ,False   ,   1 ,   1 ,163_241    ,169_355    ,164_242      ,195_382      ,0 of 0   ,0 of 1   ,        2 ,        0 ,    41 ,    31 ,132_209 ,146_324 ,KO/TKO                  ,         3 ,            294 ,3 Rnd (5-5-5)        ,17-Feb-19 ,Men's Bout         ,Vicente Luque
Aleksandra Albu           ,Emily Whitmire            ,3_0_0     ,3_2_0     ,False   ,   0 ,   0 ,2_5        ,3_5        ,2_6          ,8_11         ,0 of 0   ,1 of 1   ,        0 ,        1 ,     0 ,    51 ,2_5     ,2_4     ,Submission              ,         1 ,             61 ,3 Rnd (5-5-5)        ,17-Feb-19 ,Women's Bout       ,Emily Whitmire
Ashlee Evans-Smith        ,Andrea Lee                ,6_3_0     ,9_2_0     ,False   ,   0 ,   0 ,66_225     ,111_209    ,71_230       ,118_216      ,2 of 10  ,0 of 2   ,        0 ,        0 ,    36 ,    85 ,38_178  ,47_132  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Feb-19 ,Women's Bout       ,Andrea Lee
Cortney Casey             ,Cynthia Calvillo          ,8_6_0     ,7_1_0     ,False   ,   0 ,   0 ,73_176     ,82_192     ,73_177       ,82_192       ,0 of 0   ,0 of 6   ,        0 ,        0 ,     0 ,    58 ,41_136  ,41_139  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Feb-19 ,Women's Bout       ,Cynthia Calvillo
Scott Holtzman            ,Nik Lentz                 ,12_2_0    ,29_9_2    ,False   ,   0 ,   0 ,54_122     ,71_122     ,86_157       ,79_130       ,0 of 0   ,5 of 19  ,        0 ,        1 ,    17 ,   407 ,39_99   ,39_88   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Feb-19 ,Men's Bout         ,Nik Lentz
Renan Barao               ,Luke Sanders              ,34_7_0    ,12_3_0    ,False   ,   0 ,   1 ,40_78      ,39_75      ,41_79        ,41_78        ,0 of 0   ,0 of 1   ,        0 ,        0 ,     0 ,    17 ,10_33   ,26_58   ,KO/TKO                  ,         2 ,             61 ,3 Rnd (5-5-5)        ,17-Feb-19 ,Men's Bout         ,Luke Sanders
Israel Adesanya           ,Anderson Silva            ,15_1_0    ,34_8_0    ,False   ,   0 ,   0 ,65_132     ,31_72      ,65_132       ,34_75        ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,27_79   ,16_49   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Feb-19  ,Men's Bout         ,Israel Adesanya
Lando Vannata             ,Marcos Mariano            ,9_3_2     ,6_4_0     ,False   ,   0 ,   0 ,20_40      ,3_9        ,39_64        ,4_11         ,1 of 1   ,0 of 0   ,        1 ,        0 ,   215 ,     0 ,18_37   ,2_7     ,Submission              ,         1 ,            295 ,3 Rnd (5-5-5)        ,9-Feb-19  ,Men's Bout         ,Lando Vannata
Devonte Smith             ,Dong Hyun Ma              ,9_1_0     ,16_8_3    ,False   ,   1 ,   0 ,19_43      ,1_9        ,19_43        ,1_9          ,0 of 0   ,0 of 0   ,        0 ,        0 ,     2 ,     0 ,14_34   ,0_4     ,KO/TKO                  ,         1 ,            233 ,3 Rnd (5-5-5)        ,9-Feb-19  ,Men's Bout         ,Devonte Smith
Montana De La Rosa        ,Nadia Kassem              ,9_5_0     ,5_0_0     ,False   ,   0 ,   0 ,21_35      ,5_7        ,79_101       ,15_20        ,2 of 3   ,0 of 0   ,        3 ,        0 ,   382 ,    50 ,20_34   ,1_3     ,Submission              ,         2 ,            157 ,3 Rnd (5-5-5)        ,9-Feb-19  ,Women's Bout       ,Montana De La Rosa
Shane Young               ,Austin Arnett             ,12_5_0    ,16_5_0    ,False   ,   1 ,   0 ,120_308    ,77_209     ,121_309      ,78_210       ,0 of 2   ,0 of 0   ,        0 ,        0 ,    16 ,     0 ,69_237  ,72_201  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Feb-19  ,Men's Bout         ,Shane Young
Teruto Ishihara           ,Kyung Ho Kang             ,10_6_2    ,14_9_0    ,False   ,   1 ,   1 ,17_47      ,26_58      ,18_48        ,30_62        ,0 of 0   ,1 of 1   ,        0 ,        1 ,    12 ,    74 ,12_36   ,19_46   ,Submission              ,         1 ,            239 ,3 Rnd (5-5-5)        ,9-Feb-19  ,Men's Bout         ,Kyung Ho Kang
Kai Kara-France           ,Raulian Paiva             ,18_7_0    ,18_1_0    ,False   ,   0 ,   0 ,58_168     ,67_184     ,60_170       ,71_188       ,2 of 7   ,0 of 4   ,        0 ,        1 ,    20 ,   100 ,33_134  ,36_140  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Feb-19  ,Men's Bout         ,Kai Kara-France
Jimmy Crute               ,Sam Alvey                 ,9_0_0     ,33_11_0   ,False   ,   1 ,   0 ,14_32      ,3_14       ,17_36        ,3_14         ,0 of 0   ,0 of 1   ,        0 ,        0 ,     8 ,     0 ,7_23    ,3_14    ,KO/TKO                  ,         1 ,            169 ,3 Rnd (5-5-5)        ,9-Feb-19  ,Men's Bout         ,Jimmy Crute
Rani Yahya                ,Ricky Simon               ,26_9_0    ,14_1_0    ,False   ,   0 ,   2 ,47_186     ,54_137     ,52_195       ,66_150       ,0 of 9   ,4 of 5   ,        0 ,        0 ,     0 ,   230 ,29_159  ,40_116  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Feb-19  ,Men's Bout         ,Ricky Simon
Callan Potter             ,Jalin Turner              ,17_7_0    ,7_4_0     ,False   ,   0 ,   1 ,3_4        ,9_17       ,3_4          ,9_17         ,0 of 1   ,0 of 0   ,        0 ,        0 ,     0 ,    13 ,1_2     ,6_14    ,KO/TKO                  ,         1 ,             53 ,3 Rnd (5-5-5)        ,9-Feb-19  ,Men's Bout         ,Jalin Turner
Wulijiburen               ,Jonathan Martinez         ,7_3_0     ,10_2_0    ,False   ,   0 ,   0 ,17_31      ,47_87      ,24_40        ,63_110       ,3 of 6   ,1 of 2   ,        1 ,        0 ,   238 ,   444 ,8_19    ,27_55   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Feb-19  ,Men's Bout         ,Jonathan Martinez
Mara Romero Borella       ,Taila Santos              ,11_5_0    ,15_1_0    ,False   ,   0 ,   0 ,29_83      ,36_100     ,84_140       ,57_123       ,2 of 5   ,1 of 1   ,        0 ,        2 ,   356 ,   165 ,14_64   ,17_69   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,2-Feb-19  ,Women's Bout       ,Mara Romero Borella
Markus Perez              ,Anthony Hernandez         ,11_2_0    ,6_0_0     ,False   ,   0 ,   0 ,16_32      ,17_35      ,19_35        ,21_39        ,1 of 7   ,0 of 0   ,        1 ,        0 ,   159 ,    38 ,9_24    ,15_32   ,Submission              ,         2 ,             67 ,3 Rnd (5-5-5)        ,2-Feb-19  ,Men's Bout         ,Markus Perez
Johnny Walker             ,Justin Ledet              ,15_3_0    ,9_1_0     ,False   ,   1 ,   0 ,7_8        ,0_4        ,7_8          ,0_4          ,0 of 0   ,0 of 0   ,        0 ,        0 ,     4 ,     0 ,6_7     ,0_4     ,KO/TKO                  ,         1 ,             15 ,3 Rnd (5-5-5)        ,2-Feb-19  ,Men's Bout         ,Johnny Walker
Livinha Souza             ,Sarah Frota               ,12_1_0    ,9_0_0     ,False   ,   0 ,   0 ,23_65      ,32_90      ,75_118       ,78_143       ,4 of 10  ,0 of 0   ,        3 ,        0 ,   222 ,   276 ,14_49   ,23_72   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,2-Feb-19  ,Women's Bout       ,Livinha Souza
Charles Oliveira          ,David Teymur              ,25_8_0    ,8_1_0     ,False   ,   0 ,   1 ,28_58      ,26_53      ,31_61        ,31_59        ,1 of 1   ,0 of 0   ,        1 ,        0 ,    13 ,    35 ,21_42   ,16_40   ,Submission              ,         2 ,             55 ,3 Rnd (5-5-5)        ,2-Feb-19  ,Men's Bout         ,Charles Oliveira
Jose Aldo                 ,Renato Moicano            ,27_4_0    ,13_1_1    ,False   ,   0 ,   0 ,26_50      ,24_53      ,26_50        ,24_53        ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,18_36   ,17_40   ,KO/TKO                  ,         2 ,             44 ,3 Rnd (5-5-5)        ,2-Feb-19  ,Men's Bout         ,Jose Aldo
Thiago Alves              ,Max Griffin               ,22_13_0   ,14_5_0    ,False   ,   0 ,   1 ,83_135     ,112_154    ,91_143       ,117_159      ,0 of 1   ,2 of 4   ,        0 ,        0 ,    73 ,   218 ,45_90   ,77_115  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,2-Feb-19  ,Men's Bout         ,Thiago Alves
Junior Albini             ,Jairzinho Rozenstruik     ,14_4_0    ,6_0_0     ,False   ,   0 ,   1 ,18_27      ,19_27      ,26_35        ,26_34        ,2 of 6   ,0 of 0   ,        0 ,        0 ,   187 ,    14 ,7_16    ,15_23   ,KO/TKO                  ,         2 ,             54 ,3 Rnd (5-5-5)        ,2-Feb-19  ,Men's Bout         ,Jairzinho Rozenstruik
Demian Maia               ,Lyman Good                ,25_9_0    ,20_4_0    ,False   ,   0 ,   0 ,0_1        ,0_2        ,8_9          ,0_2          ,2 of 4   ,0 of 0   ,        2 ,        0 ,   131 ,     0 ,0_1     ,0_2     ,Submission              ,         1 ,            158 ,3 Rnd (5-5-5)        ,2-Feb-19  ,Men's Bout         ,Demian Maia
Raphael Assuncao          ,Marlon Moraes             ,27_5_0    ,21_5_1    ,True    ,   0 ,   1 ,2_12       ,10_23      ,3_13         ,12_25        ,0 of 0   ,0 of 0   ,        0 ,        1 ,     0 ,    75 ,1_10    ,8_17    ,Submission              ,         1 ,            197 ,5 Rnd (5-5-5-5-5)    ,2-Feb-19  ,Men's Bout         ,Marlon Moraes
Geraldo de Freitas        ,Felipe Colares            ,11_4_0    ,8_0_0     ,False   ,   0 ,   0 ,49_76      ,21_51      ,68_96        ,28_60        ,6 of 9   ,3 of 8   ,        0 ,        0 ,   396 ,   252 ,31_54   ,11_36   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,2-Feb-19  ,Men's Bout         ,Geraldo de Freitas
